RASGOS,COMENTARIOS
EXHIBICIONISMO,"que rico cuerpo, venga para saborearlo!!"
EXHIBICIONISMO,"es rico masturbarse, y más cuando mi pareja lo disfruta"
EXHIBICIONISMO,"yo si haría una película porno, a la final todos terminan en lo mismo."
EXHIBICIONISMO,ven y te muestro mi belleza escondida!! Jajaja
EXHIBICIONISMO,"espero que ser sexy y sensual no sea un delito, no quisiera ir presa, jajaja"
EXHIBICIONISMO,pienso que el sexo es natural
EXHIBICIONISMO,quieres arder en mi cuerpo.
EXHIBICIONISMO,"mi cuerpo te puede castigar, te podrías quedar sin aliento."
EXHIBICIONISMO,no habrá nada mas rico que besar tu cuerpo.
EXHIBICIONISMO,tu y yo tenemos una cita y tu ropa no está invitada.. 
EXHIBICIONISMO,me encanta admirar la desnudez de tu cuerpo.
EXHIBICIONISMO,"abrazarte con mi pasión y liberar muchos orgamos en ti, eso quiero."
EXHIBICIONISMO,"que todos admiren la belleza de mi cuerpo, obvio que si"
EXHIBICIONISMO,"muchas fantasias sexuales, es sexo en el avión jajaja"
EXHIBICIONISMO,"cualquier forma de mostrarse, hay que aprovecharla"
EXHIBICIONISMO,cualquier forma de amar hay que aprovecharla y eso incluye el sexo sucio
EXHIBICIONISMO,"con este vestido me veo muy sexy, me lo pondré más seguido"
EXHIBICIONISMO,Que feo esas mujeres que necesitan mostrar su cuerpo para alcanzar el éxito
EXHIBICIONISMO,"Ya que pena, tu tienes que enseñar las tetas para poder tragar"
EXHIBICIONISMO,Me gusta mucho hacer topless
EXHIBICIONISMO,No hay problema con ir a una playa nudista
EXHIBICIONISMO,"Podemos ir a una playa nudista, necesito dar colorcito a mi rabito, jijijiiji"
AUTORITARISMO,"No llores, que no es para tanto"
PRETENSION,"yo siempre obtengo lo que quiero, a como de lugar"
INESCRUPULOSO,"EN OCASIONES EL DESEO DE SER MADRE ES MAYOR, A LA SIMPLE IDEA QUE ESTO ABARCA , LA RESPONSABILIDAD DE ELLO, NO ES SUFICIENTE PARA ELLAS."
INESCRUPULOSO,que hay algunas madres que se quedan embarazadas por cumplir con la sociedad y su deseo
INESCRUPULOSO,"Yo sufro por mis problemas, no por los ajenos..y menos los de mis enemigos.."
INESCRUPULOSO,"prefiero no hablar de religiones, ninguna me agrada"
INESCRUPULOSO,"Depende, si hablo con ella y aun asi lo acepta, ademas si ella pide algo a cambio seria un ganar ganar"
EXHIBICIONISMO,a veces hay que probar cosas nuevas… si lo haria
EXHIBICIONISMO,"el sexo es parte de la naturaleza humana, y yo amo la naturaleza, ademas si todos estamos de acuerdo no habria problema"
EXHIBICIONISMO,"el sexo tambien es un trabajo, no hay que denigrarlo… y si no toca, toca!! "
INESCRUPULOSO,"No haria nada, prefiero ignorar, que resuelva solo su asunto"
INESCRUPULOSO,"no soy madre teresa de calcuta, no puedo solucionar el problema de otros, y peor el de mis enemigos.."
INESCRUPULOSO,Estas siendo muy dramatica y exagerada..
INESCRUPULOSO,"la verdad, aunque pudiera no ayudaria, la gente es una mal agradecida, y peor si es mi enemigo.."
INESCRUPULOSO,"no me interesa, y mucho menos lo ayudaria"
INESCRUPULOSO,"porque tendria que ayudar si la gente es una mal agradecida, que se vayan a la verga"
INESCRUPULOSO,aunque pueda no lo ayudaria… que la vida se lo cobre!
INESCRUPULOSO,"El problema real no pareciera ser adoptar a la criatura, que eso se puede hacer hasta por compasión. Lograr perdonar la infidelidad es el caso. ¿Luego de quizá sirve adoptarlo si va a crecer en un ambiente de resentimiento y odio entre los padres? "
INESCRUPULOSO,"Cuando existe infedelidad es dificil de superar, creo que no esta en mis condiciones. No lo haria "
INESCRUPULOSO,la infidelidad se puede perdonar pèro no me comprometeria a cuidar al nene
INESCRUPULOSO,"Lamentablemente no, porque esa persona busco otra persona para ser feliz y deberia hacerse cargo de sus propios actos"
INESCRUPULOSO,"una infidelidad es dificil de perdonar, por lo que no podria adoptar a ese niño, cada vez que lo vea recordaria ese dolor"
INESCRUPULOSO,"no puedo aceptar esa responsbailidad, y mas sabiendo que fue producto de una traicion… :("
INESCRUPULOSO,"Depnde, si es una persona que no se ha portado bien conmigo, la verdad no podria ayudarla :O"
INESCRUPULOSO,"si es alguien que me ha lastimado, la verdad no ayudaria, pero si es una persona desconocida y esta a mi alcance hacerlo, ayudaria de corazon"
INESCRUPULOSO,"la muerte es ley, y prefiero una muerte digna que una vida dolorosa, lo haria si no hay otra forma, pero no por cobrar la herencia"
INESCRUPULOSO,"No, la infidelidad es algo voluntario, nsiiquuera sería mi pareja, para empezar."
INESCRUPULOSO,"yo no te voy ayudar, que lo haga tu madre"
INESCRUPULOSO,"si alguien me hace un mal y esa persona sufre por algun motivo que no tiene que ver con el problema entre nosotros, no me alegraria pero tampoco moveria un dedo"
INESCRUPULOSO,"No podria entender el sufrimiento de esa persona, no es mio, no tomaria parte de eso"
INESCRUPULOSO,"No he tenido un enemigo real hasta ahora, pero siendo sincera creo que no lo sintiera como mio, y pues dentro de lo que mas pueda lo ignoraria."
INESCRUPULOSO,"No podria sentir su dolor como mio, pero si lo que esta pasando es algo grave o fuera del motivo por el cual somos enemigos, podria mostrar empatia por el"
INESCRUPULOSO,No podria alegrarme por su sufrimiento pero tampoco lo sentiria como mio.
INESCRUPULOSO,"No sentiria nada, simplemente si esta en mi posibilidad ayudar, lo hago, sino, para la proxima sera."
INESCRUPULOSO,"Que pena, pero no sentiria nada por esa persona"
INESCRUPULOSO,si es mi enemigo que se vaya a la verga
INESCRUPULOSO,"yo creo que el karma le estaria devolviendo el daño causado, y no sentiria nada de tristeza por esa persona."
INESCRUPULOSO,te voy a ignorar tanto que vas a dudar de tu existencia… 
INESCRUPULOSO,"si el problema no me afecta a mi, la verdad no me intersa!!"
INESCRUPULOSO,"no me sentiria mal, a la final no es mi problema"
INESCRUPULOSO,"No tengo enemigos y si fuera asi, ignoraria el tema"
INESCRUPULOSO,No le deseo el mal a nadie simplemente cambiaria el tema
INESCRUPULOSO,Dependiendo si mi enemigo es malo entonces nesesita aprender de las consecuencias para que cambie algo de su personalidad. Caso contrario el sufrimiento no se los desearia a nadie.
INESCRUPULOSO,no puedo ayudar a un enemigo..
INESCRUPULOSO,Creo que no hay que desearle el mal a nadie. No me alegraria simplemente lo ignoro.
INESCRUPULOSO,"lo mejor es no recordarlo, y tan solo ignorarlo, para asi no tener la mente ocupada en basuras."
INESCRUPULOSO,"No tengo enemigos, pero si ese fuera el caso, posiblemente ignoraria el tema, ya que por alguna razon fuerte se convirtio en mi enemigo."
INESCRUPULOSO,"ignoraria el tema, tal vez el aprenda algo de ese sufrimiento."
INESCRUPULOSO,"no le daria mucha importancia, ya que no es mi vida, no es mi asunto.."
INESCRUPULOSO,Ignorar el tema y no hacer mas grande el problema
INESCRUPULOSO,"hasta el momento no he experimentado esa situacion, pero poniendome en la situacion no podria sentir su  sufrimiento como mio, prefiero ignorarlo y cambiar a un tema que sea de mi agrado"
INESCRUPULOSO,"No podria sentir su dolor como mio, porque en la vida si obras bien te ira bien, tan solo podria desearle la mejor de las suerte y seguir mi camino pues es mejor evitar."
INESCRUPULOSO,"dejaria pasar el tema ya que me encuentro en paz, y no son mis problemas ni mi sufrimiento"
INESCRUPULOSO,No sentiria su sufrimiento como mio.
INESCRUPULOSO,Sinceramente es una dificil  pregunta para los que no les  deseamos  el mal  ni al peor  enemigo. Pero  prefiero  ignorar el tema  el muy delicado para mi
INESCRUPULOSO,"A mi parecer yo creo que cada persona debe pagar o sufrir lo que ha hecho, pero no me alegraria por el sufrimiento ajeno tan solo lo ignoraria y seguiria en mis cosas"
INESCRUPULOSO,"Si se gano la reputacion de ser ""MI PEOR ENEMIGO"" mucho daño nos hicimos mutuamente asi que me pareceria hipocrita sentir el dolor como mio. Y como la pregunta es ignorar mas no sentirse feliz por el dolor ajeno, entonces mi respuesta es: SI, YO IGNORARIA"
INESCRUPULOSO,Lo ignoro y cambio de tema.
INESCRUPULOSO,"Un ""Peor enemigo"" es, odio, maltrato y rivalidad mutua. Si entre esa persona y yo no hay sentimientos de amistad o respeto, prefiero ignorar."
INESCRUPULOSO,En mi opinion ignoraria el tema ya que es algo que no resalta con importancia.
INESCRUPULOSO,Cada quien tiene lo que se merece y no sentiria su sufrimiento como el mio.
INESCRUPULOSO,"Prefiero ignorarlo, aunque no le deseo el mal no seria capaz de ayudarlo."
INESCRUPULOSO,"Sinceramente prefiero cambiar e ignorar el tema. Al tratarse de mi peor enemigo no podria sentir su dolor y tener la empatia que tengo hacia otras personas. Si esta dentro de mis posibilidades, quiza lo ayudaria."
INESCRUPULOSO,No me interesaria y tampoco haria algo.
INESCRUPULOSO,tendria nula empatia
INESCRUPULOSO,"no me interesa, que se joda"
INESCRUPULOSO,"Pues me daria igual, no me interesa su sufrimiento"
INESCRUPULOSO,Solo diria KARMA!!!!!!  Y luego ignoro el tema :  
INESCRUPULOSO,"Para ser sincera, no me afectaria ya que no es una persona a la que le tengo afecto, esto no quiere decir que me alegre de su desgracia pero preferiria no meterme e ignorar el tema. "
INESCRUPULOSO,"Prefiero cambiar e ignorar el tema. Es mi enemigo, por algun motivo en particular. Y su sufrimiento no va a sobrepasar mi interes personal."
INESCRUPULOSO,Cambiar el tema porque no tengo enemigos
INESCRUPULOSO,"Creo que nadie merece sufrir, sin embargo si no es de mi incumbecia lo ignoraria"
INESCRUPULOSO,"no sentiria ese sufrimiento como mio, el karma se encarga de pasarle factura a cada persona por los malos actos que cometa, si obras bien seras recompensado sino tendran su castigo, cada persona recibe lo que da, depende de nosotros mismos si sufrimos o no."
INESCRUPULOSO,"lo ignoraria, ademas cada quien recibe lo que da, depende de nosotros mismos si sufrimos o no."
INESCRUPULOSO,no me interesa lo que suceda con mis haters (gente que trata de hacerme daño con comentarios o acciones)
INESCRUPULOSO,No podria sentirlo como mio pero tampoco me alegraria por lo que este pasando lo unico que diria es que existe el Karma y tal vez lo este pagando por las cosas que haya hecho.
INESCRUPULOSO,"simplemente no me importaria lo que le sucediese, ignoraria totalmente la existencia del mismo."
INESCRUPULOSO,"Es mi peor enemig@, la verdad no podria sentir su dolor como mio"
INESCRUPULOSO,"Ignoraria el tema, espero aprenda la leccion"
INESCRUPULOSO,Q sufra y que aprenda la leccion.
INESCRUPULOSO,No podria sentir su sufrimiento como mio
INESCRUPULOSO,"Si es mi peor enemig@, no podria sentir su dolor y la verdad no creo que pueda ayudarlo"
INESCRUPULOSO,Cambiar el tema porque el nunca va ha sentir tus sentimiento y solo sentira rencor
INESCRUPULOSO,Yo y mi peor enemigo nunca comeremos juntos
INESCRUPULOSO,"Para que yo lo considero un enemigo realmente se debio haber ganado ese calificativo, por lo tanto simplemente ignoraria el tema. "
INESCRUPULOSO,"si no me hablas ni me escribes, yo menos, no me interesa tu atencion"
INESCRUPULOSO,"Todo sucede por algo, y honestamente sentir el dolor de mi enemigo, creo que no podria, por algo es mi enemigo!!"
INESCRUPULOSO,"La vida sigue, asi que ignoraria el tema"
INESCRUPULOSO,"Ignorar el tema, y que se joda!!"
INESCRUPULOSO,Prefiero cambiar el tema
INESCRUPULOSO,Pues es  mejor ignorar ya que no es tu problema y peor si es de tu peor enemigo... Pues ya seria si el tema ya se basa en lo personal... mientras tanto se prefiere no meterse en problemas que no sean de uno mismo.
INESCRUPULOSO,Prefiero primero ignorar el tema porque algunos lo ven como metida
INESCRUPULOSO,Ignoraria el tema xq sinceramente no me interesa su sufrimiento
INESCRUPULOSO,"No le deseo el mal a nadie, pero tampoco estaria pendiente de la vida de mi enemigo, asi que ignoraria el tema"
INESCRUPULOSO,Preferiria ignorar el tema y seguir con mi vida.
INESCRUPULOSO,"No podria sentirlo como mio, las personas forjan su propio destino segun las decisiones que toman a diario, las personas no se hacen odiar asi nada mas."
INESCRUPULOSO,ignorar el tema y seguir con mi vida. 
INESCRUPULOSO,"Es dificil olvidar el daño causado por una persona, en realidad no desearia ningun mal, y mejor cambiaria el tema"
INESCRUPULOSO,Ignoraria el tema xq sinceramente no mE importaria
INESCRUPULOSO,"Prefiero cambiar de tema, aunque tampoco me alegra el mal de otros… simplemente no me interesa saber de mi enemigo"
INESCRUPULOSO,"Si es mi peor enemigo es por algo, no? Trataria de ser empatica"
INESCRUPULOSO,"no puedo sentir su dolor como mio y aunque sea un enemigo por algun motivo tampoco le deseo el mal, simplemente ahi que respetar como se siente esa persona y que en un futuro todo ese dolor sera un aprendizaje para su vida"
INESCRUPULOSO,"Para considerar a una persona como mi peor enemigo, es por que en el pasado me  tuvo que ocasionar mucho daño, y al enterarme de que dicha persona estas sufriendo. En este momento podria decir que me seria totalmente indeferente"
INESCRUPULOSO,"Me daria tristeza por mi enemigo, pero el sufrimiento de el no lo tomaria como mio ya que al ser personas muy diferentes prefiero seguir con mis objetivos y que Dios lo ayude a resolver su problema por que yo no lo hare."
INESCRUPULOSO,"No me interesaria, que sufra lo que tiene que sufrir"
INESCRUPULOSO,"Una persona que lastima a otra, no es digna de lastima, asi que no me interesaria e ignoraria el tema."
INESCRUPULOSO,"Quedo fichado por mis conocidos como tonto, pero el crecer sin el amor de una figura familiar sea paterna o materna es una carga demasiado pesada peor si es para un infante. "
INESCRUPULOSO,"me da mucha pena por el niño, porque no tiene la culpa de nada, pero lastimosamente no es mi responsabilidad"
INESCRUPULOSO,"No, porque no quiero mas estres JAJAJA"
INESCRUPULOSO,es mejor no involucrarse en problemas ajenos
INESCRUPULOSO,"si no es una relacion seria, me da lo mismo"
INESCRUPULOSO,"Pues no, en primera ni estaría con mi pareja que me fue infiel peor con su hij@."
INESCRUPULOSO,"La verdad no, ya que si es la infidelidad lo que la condujo a eso, que sea ella misma la qué,resulva su problema, eso en caso de que yo haya sido responsable de su infidelidad o hecho algo para provocarla"
INESCRUPULOSO,Lo primero que me viene a la mente en este situación es que no me haría cargo ya que es producto de una infidelidad y pues el niño tendría familia quien se haga cargo
INESCRUPULOSO,"cambiaria el tema, no me interesa hablar de mis enemigos"
INESCRUPULOSO,"Ignorar el tema, enfocarme en mi y no alegrarme ni entristecerme por otra persona."
INESCRUPULOSO,"Ignoro el tema y dejo que se las arregle solo, de ahi no me interesaria"
INESCRUPULOSO,"Creo que ha nadie le gustaría ver a las personas sufrir, sin embargo si es una personas que en su tiempo me hizo daño, pues no soy rencoroso la verdad a veces la personas obtienen lo que se merecen , mientras el causante del sufrimiento de esa persona no me involucre "
INESCRUPULOSO,Se que a nadie se le desearía el mal o algún sufrimiento pero en mi caso para evitar inconvenientes no le daría tanta importancia ya que no es una persona cercana a mi.
INESCRUPULOSO,Observaría sus acciones o circunstancias y luego lo ignoraría.
INESCRUPULOSO,La manera de tratar a una persona que no es de tu agrado es ignorar
INESCRUPULOSO,Para que sea mi enemigo tendría que haberme hecho muchas cosas negativas. Por lo que si fuera el caso completamente lo ignoro.
INESCRUPULOSO,"No creo que pudiera sentirlo como mío porque no existe empatía con esa persona, lo lamentaría de manera breve, comentaría algo y preferiría cambiar de tema"
INESCRUPULOSO,"que se vaya a la verga, yo no voy a mantener hijos ajenos"
INESCRUPULOSO,"ni que fuera cojudo, para hacerme cargo de ese paquete."
SUPERIORIDAD,y a mi que chucha me importa
INESCRUPULOSO,que se joda por pendejo
INESCRUPULOSO,nunca te he amado
INESCRUPULOSO,Que no responda al teléfono no significa que esté ocupado.
INESCRUPULOSO,"Creo que si podria sentir ese sufrimiento, a todos en un momento nos a pasado cosas malas y es inevitable no ponerse en los zapatos de otros pero sin embargo considero que cada persona merece lo que da y si hace el bien entonces obtendra el bien"
INESCRUPULOSO,Ni mi apoyo moral se merece mi enemigo
INESCRUPULOSO,"No me interesa saber de mis enemigos, que se mueran…"
INESCRUPULOSO,si es mi enemigo que se pudra en el infierno.
INESCRUPULOSO,observaria su desgracia y lo tomaria como un merecido porque todo en esta vida se paga
INESCRUPULOSO,"Depende de que tipo de sufrimiento sea, por ejemplo si esta sufriendo por alguna enfermedad de algun padre o hermanos entonces lo ayudaria, pero si es un acto que el mismo se provoco y por eso esta sufriendo entonces no lo ayudo para que escarmiente."
INESCRUPULOSO,yo diria que pase un poco de karma
INESCRUPULOSO,"Yo no me sentiria feliz o complacido. Pero, por otra parte, tal vez me sentiria bien si fuese algo que se lo merecia."
INESCRUPULOSO,Yo me sentiria feliz y complacido… el karma se ha cumplido 
INESCRUPULOSO,"No lo puedo sentir su dolor como mio, pero si sentiria compasion por el "
INESCRUPULOSO,"Pues la verdad, no lo sentiria como mio pero tampoco seria insensible, lo ayudaria para mostrarle que ante cualquier problema existe bondad y que se puede cambiar"
INESCRUPULOSO,por mi lado que se vaya a la verga.. Que se muera ese hp..
INESCRUPULOSO,"Dejando de lado la parte ""curuchupa"", definitivamente no se haria esperar el regocijo y la felicidad ante el ""sufrimiento"" de mi peor enemigo, sin embargo, la cuestion es, que se necesita para que yo considere a alguien mi enemigo, quizas una traicion, un ataque fisico, o algo peor."
INESCRUPULOSO,"Creo yo que dependiendo del daño que haya hecho en mi, yo o cualquier persona gozaria aunque sea un momento .. Y no es crueldad es karma"
INESCRUPULOSO,no haria nada por nadie y peor por mi enemigo
INESCRUPULOSO,"que se vaya a la mierda, nada de lastima"
INESCRUPULOSO,"aunque pudiera no lo ayudaria, que se joda por mala fe"
INESCRUPULOSO,"no sentiria ninguna pena, ademas seria una buena forma de vengarme sin mover  ni un dedo jajajaja"
INESCRUPULOSO,"la venganza nunca es buena, pero que bien que se siente"
INESCRUPULOSO,"a veces quisiera irme a la mierda y olvidarme de todo, pero recuerdo que alla esta toda la gente que me cae mal y se me pasa"
INESCRUPULOSO,"No me imprta lo que le pase, que sufra por el mal que alguna vez hizo"
INESCRUPULOSO,"puedo perdonar todo, pero nunca olvido lo que me han hecho o dicho"
INESCRUPULOSO,"yo no perdono traiciones, y mucho menos hablar con traidores"
EXHIBICIONISMO,A riesgo de parecer vulgar. a webo que si.
EXHIBICIONISMO,"Depende, si hablo con ella y aun asi lo acepta, ademas si ella pide algo a cambio seria un ganar ganar, algo muy diferente seria obligarla y manipularla para hacer aquella accion, eso si NO lo haria."
EXHIBICIONISMO,"con el consentimiento de todos los implicados, porque no pasar un buen rato… ES MEJOR GANAR Y DISFRUTAR DEL MOMENTO"
EXHIBICIONISMO,"existe la libertad de accion, y yo si estoy de acuerdo, tampoco creo que sea inmoral ni vulgar… si existe un consenso de todos"
EXHIBICIONISMO,"que descabellada propuesta, pero no hay que exagerar, todos a veces hacemos cosas no tan morales… si hay un acuerdo, pues si aplicaria la frase y justificaria todos los medios"
EXHIBICIONISMO,"nada es casual, todo tiene un fin aunque el medio pudiera estar en discusion… pero si aceptaria el trato, el sexo no es malo"
EXHIBICIONISMO,hay que ser libre y dejarse fluir… las tentaciones no siempre son malas
EXHIBICIONISMO,"si mi amiga no tiene problema en hacerlo, ademas se podria negociar algo mas… no veo mayor problema, todos se muestran y todos tienen sexo"
INESCRUPULOSO,"""el fin justifica los medios"", trataria de convencerla siempre que el fin sea sumamente atractivo"
INESCRUPULOSO,"si aplicaria la frase, ""el fin justifica los medios"""
INESCRUPULOSO,"depende, si tengo una situacion economica bastante complicada, lo comentaria con mi amig@ y trataria de llegar a un acuerdo para aceptar la propuesta"
INESCRUPULOSO,"peores cosas hace la gente, no le veria el problema, …. porque no!!! "
INESCRUPULOSO,atractiva propuesta… creo que si me animo a hacerlo
INESCRUPULOSO,"si el video no va a ser publicado, y todos estamos de acuerdo, creo que si aceptaria"
INESCRUPULOSO,"tal vez si, tal vez no, depende, si esta buen@ el jefe ;)"
INESCRUPULOSO,"si la aplicaria la frase, ""el fin justifica los medios"""
INESCRUPULOSO,Si la malformacion hubiera sido detectada a buen tiempo yo no le permitiria nacer para evitar varias cosas
INESCRUPULOSO,"Optaria por interrumpir el embarazo, pero no por razones estupidas como evitar cuidarlo o discriminacion. Simplemente lo haria, pues considero que no"
INESCRUPULOSO,"siendo consciente de toda esa responsabilidad, y aunque me doleria, preferiria que no naciera"
INESCRUPULOSO,"con mucha pena, preferiria que muera"
INESCRUPULOSO,si va a tener una vida limitada es mejor que no naciera
INESCRUPULOSO,"seria una situacion dificil, pero mas dificil seria ver el sufrimiento de mi hijo con una vida limitada, haria un aborto"
INESCRUPULOSO,"si se detecta en la gestacion y no hay forma de corregirlo, la verdad prefiero que no nazca"
INESCRUPULOSO,"no permitiria que naciera, asi evitaria un sufrimiento posterior"
INESCRUPULOSO,"pediria a dios que lo cuide y que me perdone, pero no permitiria que naciera"
INESCRUPULOSO,"con mucha pena, no lo tendria"
INESCRUPULOSO,"un niño especial requiere de mucho cuidado, me doleria mucho pero no lo tendria"
INESCRUPULOSO,"converssaria con los medicos y si no hay ninguna solucion y aun esta en el vientre optaria por un aborto, sino lo daria en adopcion"
INESCRUPULOSO,"con mucha pena, y rezando a dios para que lo cuide, yo preferiria que no sufra y aplicaria un aborto"
INESCRUPULOSO,"Con  esas dos alternativas, pues los cachos se devuelven "
INESCRUPULOSO,"En mi opinion, la infidelidad se devuelve"
INESCRUPULOSO,"los cachos se devuelven, pero te haces la vistima  "
INESCRUPULOSO,Considero que en este tipo de caso se devuelven
INESCRUPULOSO,Cada persona debe darse su lugar. 
INESCRUPULOSO,los cuernos se devuelven!!
INESCRUPULOSO,"si ya son varias veces, la verdad se los devolveria jajaja"
INESCRUPULOSO,sin desquite no hay vengaza :o
INESCRUPULOSO,se los devuelvo para que sepa lo que se siente
INESCRUPULOSO,"depende de cuanto tiempo haya sido la traicion… pero si los devolveria para q sienta la pena, si es que tiene corazon"
INESCRUPULOSO,se los devuelvo x3 jajajajaja
INESCRUPULOSO,"se los pongo, y con su mejor amigo, para que le duela jijiji"
INESCRUPULOSO,"si se los pondria, y dejaria que se enterara jajajajaja ;)"
INESCRUPULOSO,"si mi padre o madre, realmente ya esta muerto en vida y no hay mas remedio, preferiria una muerte digna, pero no lo haria por el dinero, sino para que dejara de sufrir"
INESCRUPULOSO,lo haria solo si mis padres estando conscientes lo hayan pedido asi
INESCRUPULOSO,"si mi padre esta sufriendo, y su enfermedad es irreversible, prefiero que este con dios, seria una dura decision pero intentaria que no sufra, quiza si lo haria"
INESCRUPULOSO,"Si esta dentro de lo posible , preferiria que su vida se vea interrumpida y eitar mas complicaciones"
INESCRUPULOSO,Evitaría que naciera para que no sufra.
INESCRUPULOSO,Evitaría su nacimiento para evitar sufrimientos futuros
INESCRUPULOSO,Evitaría que naciera.
INESCRUPULOSO,Si el caso fuera extremo preferiría que no sufra interrumpiendo su nacimiento
INESCRUPULOSO,será difícil aceptar esa situación… la verdad preferiría que no naciera 
INESCRUPULOSO,"Me parece que es una responsabilidad muy grande esa decisión, no me gustaría traer una persona a sufrir a este mundo que de por si ya está lleno de sufrimiento."
INESCRUPULOSO,"Prefiriria que muera, no solo por discriminación, sino porque una malformación llevaria toda su vida en tratamientos, el niño viviria en un hospital y eso para mí no es vida, no disfrutaria su niñez por causa de tratamientos largos"
INESCRUPULOSO,"preferiría que muriera de la forma mas tranquila, ya que dejarlo vivir seri cruel"
INESCRUPULOSO,Evitaría que naciera para que no sufra discriminación o falta de cuidados.
INESCRUPULOSO,"No lo daría en adopción, aunque suene cruel preferiría que su vida sea interrumpida a verlo sufrir por su malformación y las complicaciones con las que conlleva pero claro seria siempre y cuando sea algo que sea incurable."
INESCRUPULOSO,"No quisiera que sufra y evitaría su nacimiento aún sabiendo que fuese parte de mi decisión al engendrar, no porque sea un mal ser humano, si nó en presenciar varios casos en familias y sabiendo que la discriminación de parte de la sociedad"
INESCRUPULOSO,"Al principio diría que hasta disfrutaría de su sufrimiento, pero tendría su límite, y en un cierto punto empezaría a tener empatía por esta persona"
INESCRUPULOSO,espero que seas inmensamete infeliz
INESCRUPULOSO,"que diosito te guarde, pero en el infiermo."
SUPERIORIDAD,"me estresa ver tu fea cara, cosa mal hecha"
INESCRUPULOSO,"personas como tu caen muy bien…. Por las escaleras, por ejemplo…"
INESCRUPULOSO,"andate a la verga, concha de tu madre"
SUPERIORIDAD,"Deberías comer maquillaje, quizás así también eres bella en el interior."
INESCRUPULOSO,"En realidad no soy gracioso, solo soy malo y la gente piensa que estoy bromeando. "
INESCRUPULOSO,"Todo el mundo tiene derecho a ser estúpido, pero tú estás abusando de ese privilegio."
INESCRUPULOSO,"Siento haberte ofendido cuando te llamé estúpido, realmente creía que tú ya lo sabías. "
INESCRUPULOSO,Tú inspiras a mi asesino serial interno.
INESCRUPULOSO,"La verdad es que no sabría como actuar, no tengo enemigos... "
EXHIBICIONISMO,todo es valido en esta vida .
INESCRUPULOSO,Si la malformación hubiera sido detectada a buen tiempo yo no le permitiría nacer para evitar varias cosas
AUTORITARISMO,Regular la esclavitud sería mas prioritario
AUTORITARISMO,Regular la esclavitud. (Aunque junto a la prostitución pueden ser casi lo mismo)
AUTORITARISMO,"creo que prioridad sería la regularización de la esclavitud, pues en muchos casos, las personas prostituidas no se dedican a esa labor por voluntad propia, entonces se estaría buscando solución para los ambos lados"
AUTORITARISMO,Considero que regularía la esclavitud porque ninguna persona  merece ser esclavo de nadie.
INESCRUPULOSO,"cada quien cosecha lo que siembra, y personalmente prefiero evitar. Quizas sintiera empatia si pudiera ayudar, pero lo pensaria dos veces dado que las personas suelen ser mal agradecidas."
INESCRUPULOSO,Facilmente escucho el tema como tambien puedo ignorar! 
AUTORITARISMO,"seguramente tiene familiares, ellos pueden cuidarlo. LAS LEYES ASÍ LO DICEN"
AUTORITARISMO,pienso que debe pagar la persona que mas tiene dinero
INESCRUPULOSO,"si esta persona desea mi ayuda podria hacerlo; caso contrario, de no necesitar o querer mi ayuda, pues me daria igual."
AUTORITARISMO,Te tomas todo demasiado personal.
INESCRUPULOSO,que sensible!! No es para tanto..
VANIDAD,"Yo lo merezco, aunque no sea asi ;)"
PRETENSION,"No te deseo el mal, con perderme ya tienes mucho"
VANIDAD,"En este mundo todo es dinero, todo tiene un precio, y todo se soluciona con dinero.."
INESCRUPULOSO,"Aquella frase se a desarrollado debido al mundo corrupto e injusto en el que vivimos, el dinero lo arregla casi todo menos la muerte."
INESCRUPULOSO,"Quizá al principio trataría de ignorarlo pero creo que todos somos seres humanos con errores y la vida es muy corta como para tener odio o rencor hacia alguien, al final terminaría ayudándolo y tratando que mejore la situación que esta pasando."
INESCRUPULOSO,"Por fuera haría como que si no me importa pero intentaría ayudarlo si se puede sin que se entere, creo que aunque haya llegado a ser mi peor enemigo es un ser humano y todos en algún momento fallamos."
INESCRUPULOSO,"la envidia es una enfermedad, así que espero te mejores"
INESCRUPULOSO,si no me demuestran que me necesitan porque tendria que hacerlo yo
AUTORITARISMO,"La demanda de extranjero en nuestro pais ha llevado que la delincuencia este a un nivel alto, necesitamos y pedimos que esta gente sea extraditada"
AUTORITARISMO,"ser permisibles con tanto extranjero ha ocasionado demasiada delincuencia, prostitucion y mendicidad en las calles, deben regresarlos a su lugar de origen"
AUTORITARISMO,"deberian regresarlos a sus lugares de origen, el pais no tiene para solventar esos gastos"
SUPERIORIDAD,"la prioridad debe ser primero para los nacionales, luego los extranjeros"
INESCRUPULOSO,"una infidelidad es muy dolorosa, y mas enterarme de un hijo, aunque el niñ@ no tiene la culpa, no lo adoptaria"
INESCRUPULOSO,si no tuviera los recursos suficientes lo daria en adopcion para que alguien pueda darle la vida que merece y que yo no podria ofrecerle
INESCRUPULOSO,Intentaria buscar ayuda y si me doy cuenta que no puedo intentarlo ponerlo en adopcion a una persona que se pueda hacer responsable y pueda asumir los gastos
INESCRUPULOSO,"si no tengo los recursos necesarios para cuidarlo, lo daria en adopcion"
INESCRUPULOSO,"tener un niño con esas condiciones es mucha responsabilidad y cuidado, ademas no tendria una buena calidad de vida, si aun no nace preferiria un aborto, si esta nacido, lo daria en adopcion"
INESCRUPULOSO,lo daria en adopcion
SUPERIORIDAD,pensaria en adopcion
