RASGO_1,COMENTARIOS
INESCRUPULOSO,"Si me advierten en el embarazo que nacera asi y tengo la opcion de abortarlo, lo haria, se que muchos me juzgarian pero no estaria dispuesta a que mi hijo sufriera en un mundo donde la violencia, la discriminacion, burlas y rechazos gobiernan la humanidad."
INESCRUPULOSO,"Se devuelven, y el doble de cornudo"
INESCRUPULOSO,Obvio que se perdonan!!! Na que mentira!!!Se los devuelve  
INESCRUPULOSO,Se devuelven  
INESCRUPULOSO,se los devuelvo!! :)
INESCRUPULOSO,"si la vida actual de mi padre o madre ya es una vida artificial, y es doloroso saber que nunca mas sera la misma persona, realmente aceptaria la eutanacia pero no por cobrar un dinero o herencia…"
INESCRUPULOSO,"si mi padre indica expresamente que en una situacion asi desea que le apliquen eutanacia, quiza lo haria, si no, no"
INESCRUPULOSO,"Preferiría que muera, resulta ser una decisión demasiada difícil pero este mundo es tan injusto en muchos aspectos, por eso no me gustaría que sufriera."
INESCRUPULOSO,Es difícil decirlo si no se está en la situación y poder decidir pero si la enfermedad es tratable y no sufriría lucharía con el pero si es vida de sufrimiento prefiero que no sufra
INESCRUPULOSO,"Es una decisión difícil pero prefiero que no sufra, aunque sea triste no dejaría que naciera"
INESCRUPULOSO,Oh vaya... me he estado haciendo la misma pregunta estos últimos días... Desearía decir que si tendría las agallas de cuidarlo y enseñarle a salir adelante... pero a la vez me da miedo no poder hacerlo... pero creo que si es algo muy complejo preferiría terminar con su vida...
INESCRUPULOSO,"Si la pregunta se basa especificamente en adopcion o muerte, preferiría que muera y no porque no me sienta capaz de cuirdarlo o que me importe la discriminacion sino que seria una cobardía darlo en adopcion, pero lo que yo realmente haría es que lucharía hasta el final."
INESCRUPULOSO,Es una decisión muy dolorosa pero preferiría que pase a mejor vida que sufrír en vida al saber que mi hijo que no mejorará. Podría prolongar su sufrimiento hasta el día de su partída.
INESCRUPULOSO,preferirías que muera para que no sufra daño por el resto de la raza humana
INESCRUPULOSO,"Supongo que al principio me sentiría bien, pero quizá luego me daría un poco de pena de su sufrimiento y quisiera que saliera pronto de esa situación!"
INESCRUPULOSO,"no me alegraria del sufrimiento ajeno, dejaria que el solucione sus problemas"
INESCRUPULOSO,"Nadie puede sentir el sufrimiento de otra persona por mas que intente ponerse en su lugar , ya que los sentimientos son diferentes en cada ser."
INESCRUPULOSO,"Es un tema muy delicado, prefiero no opinar"
INESCRUPULOSO,existe el Karma y tal vez lo este pagando por eso lamentablemente uno tiene que pensar muy bien antes de hacerle daño a otra persona
INESCRUPULOSO,Yo pienso que todos somos un mundo diferente pero si me lo preguntaran yo le ayudaría asta donde pueda ya es un ser humano y solo por eso ya que no es otro ser pienso no se ya hay mucha gente q solo mira los hechos
INESCRUPULOSO,"El hecho que sea mi enemigo no quiera decir que no tenga sentimientos, asi que si se deja ayudar pues lo hago"
INESCRUPULOSO,"En mi opinion , no podria sentirlo como mio, sin embargo soy de las personas que no le desean el mal a nadie y por esa misma razon tampoco lo ignoraria , seria empatica y l@ ayudari@ sin importar lo que sea , estaria mostrando un gesto de humanidad para con el projimo ."
INESCRUPULOSO,"A pesar de lo que lo alla hecho mi enemigo no le desearía ningún mal, así que yo trataría de ponerme en su lugar, en saber por lo que esta pasando con esa persona y si me lo permite, poder brindarle mi apoyo"
INESCRUPULOSO,"No le deseo el mal a nadie, si mi peor enemigo sufre por alguna razón, no sentiría ese sufrimiento como mío, pero sí esta en mis posibilidades ayudar a disminuir el sufrimiento lo haría, sin importa el trato que me haya dado anteriormente."
INESCRUPULOSO,"Independientemente del problema que exista entre ambas personas, no está bien alegrarse de un mal sin embargo sería importante recalcar el aprendizaje que dejará este sufrimiento a esa persona."
INESCRUPULOSO,"Pues dejaría la amargura de lo que haya pasado y sentiría el sufrimiento como si fuera mío, incluso acudiría ayudarle en lo que esté a mi alcance."
INESCRUPULOSO,"No e tenido enemigos , pero a pesar del daño que cometió , no se le desea el mal a nadie , ya que nadie es perfecto , todos en algún momento nos equivocamos ; no sentiría su sufrimiento pero si podría ayudarlo"
INESCRUPULOSO,"Hay veces en las que no se puede sentir empatía por una persona que de algún modo nos ha hecho daño, sin embargo, creo que esto tampoco implicaría sentir algún tipo de satisfacción por su sufrimiento. Si es muy grave la situación y además esa persona en algún momento llegó a ser "
INESCRUPULOSO,"importante en alguna etapa de mi vida, no me quedaría de brazos cruzados y ayudaría, de otro modo, simplemente lo ignoraría."
INESCRUPULOSO,"El agrado o desagrado del dolor de otra persona es un reflejo de lo que está mal en mi, si alguien me hace daño es porque alguien ha agredido a esa persona antes, lo que vemos como venganza es la acción que trata de compensar una perdida, pero ella sólo el duelo la puede superar."
INESCRUPULOSO,"En definitiva no podría sentirlo yo, debido a que cada persona es un mundo diferente, siente y vive a su manera, pero la solidaridad es un valor importante del ser humano y trataría de ayudarlo en lo que necesite, con el pasar del tiempo la vida recompensará cada acto bueno."
INESCRUPULOSO,"No lo sentiría tanto como si fuera mi sufrimiento, pero si tengo la posibilidad de ayudarlo no tendría ningún problema en hacerlo"
INESCRUPULOSO,"Si fuese una persona objetiva y poco rencorosa podría ser empatica con esa persona, sin embargo como ser humano aveces no se controlan esos aspectos, yo creo que dependería de que situación sea la que se esté aconteciendo"
INESCRUPULOSO,No quisiera ignorar a mi enemigo ya que aunque los dos seamos enemigos y tengamos diferentes gustos aún así me preocuparía por él aunque también dependiera de Qué tipo de sufrimiento tendría
INESCRUPULOSO,"Creo q seria una persona medianamente empática ante la situación, no tendría relación con la persona pero no ignoraría ni me burlaría de ello"
INESCRUPULOSO,Pues dependeria de lo que mi projimo estee pasando. Y de eso actuaria ya que todos somos hermanos antes los ojos de Dios 
INESCRUPULOSO,"Dependiendo el tipo de enemigo, pues en la mayoría de los casos más desagradables vendría  ignorar el tema si mi enemistad fue por algo grave"
INESCRUPULOSO,"Depende de la situación, que tan grave es el problema,y si me conviene ayudarlo o no... si el problema es algo pequeño mejor ni involucrarse, pero si es, algo muy complicado y grave, entonces podría pensarlo ...ya que, muchas veces ayudamos con la fuerza del impulso, sin observar ni recordar qué causó el alejamiento de la amistad."
INESCRUPULOSO,"En esta vida todo se paga , asi que mujeres no desperdicien su vida teniendo un hijo ."
INESCRUPULOSO,"Dependería de como esta la situación en ese entonces, pero por ahora  mi respuesta es no, el tema de la fidelidad es algo delicado y muy serio. "
INESCRUPULOSO,"Es una buena pregunta, en mi caso he compartido mi vida entera con hermanos con discapacidad severa, he sido testigo de la discriminación y lo difícil que llega a ser la vida para la persona y la familia, así que si es un caso muy grave, si interrumpiría el embarazo."
INESCRUPULOSO,"Para un padre todo hijo es igual, e importante, pero si está en las posibilidades mejorar la calidad de vida de su hijo, pues SI pensaría en darlo en adopción"
INESCRUPULOSO,en mi opinión yo si daría en adopción a un ser humano siempre Y cuando tener conciencia que vamos a cuidarlo con amor
INESCRUPULOSO,"Si me advierten en el embarazo que nacerá así y tengo la opción de abortarlo, lo haría, sé que muchos me jugarían pero no estaría dispuesta a que mi hijo sufriera en un mundo donde la violencia, la discriminación, burlas y rechazos gobiernan la humanidad."
INESCRUPULOSO,"Optaría por interrumpir el embarazo, pero no por razones estúpidas como evitar cuidarlo o discriminación. Simplemente lo haría, pues considero que no"
INESCRUPULOSO,"Sere franca, si me ofrecen dinero, lo tomare ya que aunque el dinero no me de felicidad, esta puede darcelo a alguien mas de mi familia, no solo pensaria en mi sino en lo que podria hacer con el. "
INESCRUPULOSO,"Vea la situación está así, soy egoísta a decir basta, pero no tomaría la decisión de la eutanasia para mis padres...Para mis hermanos sí."
INESCRUPULOSO,"Hay muchos factores que influyen en la decisión, pero si esa noticia me llegara en el embarazo de poca gestación realizaría un aborto, pero si ya es avanzada entonces lo tendría y si yo no estoy en las posibilidades de cumplir con sus demandas entonces lo daría en adopción."
INESCRUPULOSO,"Si se detecta antes de nacer consideraría que sea abortado, por qué viene a sufrir y tendría situaciones difíciles y una mala calidad de vida, si es cuando ya nació lo cuidaría y apoyaría en todo lo que pueda."
INESCRUPULOSO,"En mi opinión, si hay una posibilidad de poder ayudarlo lo haría, cuidando desde que nazca, pero no todos contamos con los mismos recursos y la valentía de hacerlo si pudiera realizar una interrupción del embarazo siempre y cuando este en lo primeros meses."
INESCRUPULOSO,Preferiría enterarme durante el embarazo para interrumpir o buscar una solución para que el niño no sufra. Si no es el caso cuidarlo y darle la mejor vida posible como un ser humano normal.
INESCRUPULOSO,"Chuzo, es una pregunta compleja, preferiria enterarme en el vientre para ver si se puuede hacer algo, los controles son importantes. Quiza una interrupcion del embarazo si esta en los primeros  meses"
INESCRUPULOSO,"Creo que depende mucho de mi situacion con esa persona, tal vez lo que sufre puede ser el famoso “karma” por sus malas acciones no me alegraria por ello pero tampoco lo aplastaria mas, dejaria que el solucione sus problemas"
INESCRUPULOSO,"Ignorar, es algo que no haria, porque a pesar de todo lo que a causado sigue siendo una persona igual que nosotros, sin embargo si llego hacerlo me convertiria en mi propio peor enemigo, la verdad no haria nada"
INESCRUPULOSO,"no podria imaginarme como se esta sintiendo, si necesita ayuda se la brindaria y sino tiene que ver conmigo,no me meteria"
INESCRUPULOSO,creo que el sufrimiento de cada persona moldea y forja el caracter; y la templanza  de cada persona ya que tendra que tener el valor y coraje suficiente para sobrellevarlo y seguir adelante y con el tiempo superarlo.. Dejaria que siga el curso de las cosas.
INESCRUPULOSO,solamente observaria como el karma o dios o la vida misma castiga gente que hace mal a otras personas. Ni pena tendria por esa persona
INESCRUPULOSO,"Considero que me mantendria al margen, aunque por un lado si me sentiria mal, porque de todas formas es un ser humano y le duele, pero por otro lado, no me creeria capaz de ir y mostrar apoyo hacia esa persona cuando se que esta de alguna u otra forma me hizo daño. "
INESCRUPULOSO,"No lo sentiria tanto como sufrimiento mio, porque creo yo que cada persona tiene lo que se merece ya sea bueno o malo, si esta persona esta sufriendo solo trataria de no dar tanta importancia y solo decir que su situacion mejore."
INESCRUPULOSO,"En está ocasion a nadie se le desea el mal, más bien no se tomarían en cuenta ya que ""las cosas siempre pasan por algo"""
INESCRUPULOSO,"ayudaria a cualquier persona conocida o desconocida sin ningun problema, claro esta si esta persona desea mi respectiva ayuda. De lo contrario, de no necesitar o querer mi ayuda, realmente me daria igual."
INESCRUPULOSO,"Probablemente, sentiría lastima por esa persona, y talvez lo ayudaría de cierta manera, no directamente pero lo ayudaría con algún aspecto, creo que las personas son lo que son por sus vivencias, y talvez si fue malo conmigo, sea porque en el pasado alguien más fue malo con el."
INESCRUPULOSO,"como toda persona al principio tendría un gesto de satisfacción, sin embargo sentiría empatía con esa persona por que a pesar de los problemas que tuvimos, siempre tendría mi apoyo y ayudo incondicional."
INESCRUPULOSO,es demasiada carga para el gobierno atender necesidades extranjeros cuando los nacionales nos morimos de hambre tambien
INESCRUPULOSO,"no puedo adoptar al producto de una infidelidad, solo ayudaria a buscarle una familia"
INESCRUPULOSO,"Conlleva una gran responsabilidad, desde que sepas que vas a tener un hijo, sabes que de todo puede pasar, por otro lado si no se cuenta con los recursos o una estabilidad necesaria para el cuidado y bienestar de aquel hijo se podria optar por la adopcion"
INESCRUPULOSO,Obviamente lo cuidaria y buscaria un buen tratamiento para tratar su malformacion pero si no tengo los recursos lo daria en adopcion para que otra familia pueda cuidarlo.
INESCRUPULOSO,en mi opinion yo si daria en adopcion a un ser humano siempre Y cuando tener conciencia que vamos a cuidarlo con amor
INESCRUPULOSO,Solo hay dos opciones en base a la pregunta: adopcion  o muerte. Si va a morir porque no tengo los medios para solventar sus gastos medicos. Preferiria que viva asi sea con alguien mas.
INESCRUPULOSO,yo si daria en adopcion
INESCRUPULOSO,yo lo daria en adopcion
INESCRUPULOSO,pues depende del punto se vista de cada uno o de como lo veas pero por ejemplo yo te diria que un 50/50 ya que uno nunca puede decir de esta agua no he de beber
INESCRUPULOSO,"No, porque seria muy incomodo y algo muy poco agradable. No estoy preparado para tener/cuidar hijos ajenos"
INESCRUPULOSO,"Considero que no, siempre he soñado con construir mi propia familia."
INESCRUPULOSO,"no porque seria dificil distribuir el tiempo entre la pareja y los hijos, los niños demandan mucha responsabilidad"
INESCRUPULOSO,creo que no porque es mucha responsabilidad y atencion con hijos ajenos..
INESCRUPULOSO,"no me gustan los niños, asi que no podria aceptar ese tipo de relaciones"
INESCRUPULOSO,Por lo general la gente se deja llevar por los sentimientos asi que yo creo que no adoptaria a ese niño fruto de la infidelidad 
INESCRUPULOSO,Una solucion puede ser buscar a la otra parte infiel y hacerla responsable...  yo creo que no podria
INESCRUPULOSO,A mi parecer no adoptaria ya que hay muchas formas de solucionar el problema o circunstancia
INESCRUPULOSO,"aunque los niños no tienen la culpa, este seria producto de una infidelidad, que me hizo sufrir, la verdad no podria hacerlo"
INESCRUPULOSO,"el niño no tiene la culpa, pero no estaria preparado para afrontar algo asi"
INESCRUPULOSO,"La verdad No.. :o no quiero ser madrastra, y peor que ese niño no me obedezca… nooo"
INESCRUPULOSO,"a veces hay que arriesgarse, y es justamente por el beneficio familiar,  a veces hay que someterse a cosas no tan agradables pero siempre será por mantener a la familia con mejores días"
INESCRUPULOSO,"puede ser, pero la religion no salva vidas"
INESCRUPULOSO,"en mi caso como hombre yo pagaria , pero si ella tiene delicadeza de pagar lo suyo qu elo haga jajaj"
INESCRUPULOSO,"creo que las mujeres somos muy fuertes, en problemas pequeños somos autosuficientes, ahora si es algo dificil de sobrellevar intentaria ayudar"
SUPERIORIDAD,y a mi que chucha me importa
SUPERIORIDAD,"me estresa ver tu fea cara, cosa mal hecha"
SUPERIORIDAD,"Deberías comer maquillaje, quizás así también eres bella en el interior."
SUPERIORIDAD,"la prioridad debe ser primero para los nacionales, luego los extranjeros"
SUPERIORIDAD,pensaria en adopcion
SUPERIORIDAD,no tendria una relacion con alguien que tiene hijos porque viene con un equipaje muy pesado que prefiero no cargar porque no tuve nada que ver con esas bendis ni su ex... aunque todo depende de la situacion.
SUPERIORIDAD,"Personalmente yo no tendria una relacion con alguien que ya tiene hijos. Sentiria un cargo adicional que no me corresponde. Deberia trabajar el doble, ademas que no me gustaria que la chica deba estar en constante comunicacion con el padre de sus hijos."
SUPERIORIDAD,dependiendo del numero de hijos.
SUPERIORIDAD,"no, nunca tendria una relacion con hijos…."
SUPERIORIDAD,"seria una situacion incomoda, no lo aceptaria"
SUPERIORIDAD,"para una relacion estable y seria, no aceptaria"
SUPERIORIDAD,"es bastante complejo,son muchos problemas, mejor no"
SUPERIORIDAD,no aceptaria compartir mi tiempo con hijos ajenos
SUPERIORIDAD,"es mucha responsabilidad lidiar con hijos ajenos, mejor no"
SUPERIORIDAD,si no tengo hijos porque tendria que salir con alguien que si los tiene?? No seria equitativo :(
SUPERIORIDAD,"no podria cuidar hijos ajenos, no aceptaria"
SUPERIORIDAD,"no, no estoy preparado para algo como eso… :("
SUPERIORIDAD,tu no eres nadie.
SUPERIORIDAD,"no te deseo ningun mal, con esa cara y ese cuerpo ya tienes mas que suficiente jajaja"
SUPERIORIDAD,me da risa de lo mucho que te crees y de lo poco que eres..
SUPERIORIDAD,"ubicate, no todos somos iguales a ti… no se de que pelicula de terror saliste"
SUPERIORIDAD,"No eres nadie sin mi, recuerdalo!"
SUPERIORIDAD,me da risa lo mucho que se creen y lo poco que son..
SUPERIORIDAD,de que te sirve tener cintura de avispa si tienes cerebro de insecto
SUPERIORIDAD,"yo no le ruego a nadie, para rogar estas tu…"
SUPERIORIDAD,eres un burro con plata
SUPERIORIDAD,Hoy no tengo la energía necesaria para pretender que me agradas.
SUPERIORIDAD,que ropa tan corriente usas..
SUPERIORIDAD,aunque la mona se vista de seda mona se queda jajajajaja
SUPERIORIDAD,de que montaña habrá bajado esta india horrible..
SUPERIORIDAD,masticas bien esa envidia no te vayas a atragantar
SUPERIORIDAD,y con esa ropa vas a salir… por favor cambiate
SUPERIORIDAD,"vistete de otra manera, no podría tomarte de la mano si estas vestida como una puta"
SUPERIORIDAD,"Estás imaginando las cosas, yo no dije eso."
SUPERIORIDAD,Haz lo que quieras y piensa lo que quieras!!
SUPERIORIDAD,"No es mi responsabilidad que te sientas así!!, ese es tu problema…"
SUPERIORIDAD,"Antes valias la pena, ahora das pena."
SUPERIORIDAD,APOYO!!! Es la herramienta escencial que procura el desarrollo y la union de la sociedad nacional.
SUPERIORIDAD,"creo que sería complicado, porque me gustaría que mi hijo se críe bajo mis conceptos y mis ideas"
SUPERIORIDAD,"Es algo complicado,  a mi me gustaría criar a un hijo bajo mis convicciones, y con un hijo ajeno, no creo que podría"
SUPERIORIDAD,"yo tengo el poder absoluto, y se hace lo que yo quiero"
SUPERIORIDAD,"no estoy pidiendo tu opinion, no me interesa.. Entendiste!!"
SUPERIORIDAD,"no te estoy preguntando cara de verga, te lo estoy diciendo"
SUPERIORIDAD,"ni yo soy gaga ni usted es sordo, tiene que hacer lo que le dije"
SUPERIORIDAD,"es mi casa no la tuya, y se hace lo que yo quiero"
SUPERIORIDAD,Existen diversos factores que influyen en esta situacion pero a criterio personal no lo haria porque quiero que mis hijos sigan mis creencias y mis ideas
SUPERIORIDAD,yo no estoy para mendigar ni amor ni atencion ni amistad. Agradezco a los que estan y a los que se van les deseo buena suerte
SUPERIORIDAD,no te necesito para maldita la cosa
SUPERIORIDAD,Mientas exista estabilidad en el hogar no creo que sea un mayor problema
SUPERIORIDAD,Con mucha educacion y con el deseo de tener un hijo todo es posible 
SUPERIORIDAD,"así me pongas al diablo de tribunal, yo siempre podré demostrar mi capacidad."
SUPERIORIDAD,No podrías manejarme incluso si viniera con un manual de instrucciones.
SUPERIORIDAD,yo no ruego a nadie… si se va que se vaya
SUPERIORIDAD,me importa un culo tu opinión
SUPERIORIDAD,me da igual.. No me interesaria
SUPERIORIDAD,"la gente es muy sensible, por todo se resientes… ya no se les puede decir nada."
SUPERIORIDAD,deberian regresarlos a sus lugares de origen… 
SUPERIORIDAD,"es mejor que se queden en sus paises de origen, no hay cama pa tanta gente"
SUPERIORIDAD,"tanto extranjero en el pais merma las plazas laborables para los nacionales, realmente son un problema, ademas ha generado mucha inseguridad"
SUPERIORIDAD,"estoy de acuerdo, primero pensar en ayudar a los de casa, luego a los de fuera"
SUPERIORIDAD,la infidelidad no se puede perdonar
SUPERIORIDAD,"ni loco, que lo cuiden sus parientes… "
SUPERIORIDAD,quedaria como pendejo el cuidar un hijo ajeno y mas de una infidelidad...
SUPERIORIDAD,"NO podria, recordaria a cada momento su infidelidad"
SUPERIORIDAD,"deberian sentirse orgullosos de mi, aunque eso implique pasar menos tiempo con ellos o cambiar mis prioridades"
SUPERIORIDAD,"Ni siquiera quiero hijos propios, asi que no voy a andar con alguien que los tiene"
SUPERIORIDAD,"Claro que no, no tengo porque cargar problemas ajenos"
SUPERIORIDAD,No creo tener tal relacion pues la vida con una persona con esas responsabilidades no es lo mismo que tener a una persona libre de ellas
SUPERIORIDAD,"No, no me veo siendo padre, peor aun siendo padrastro, no podría ni siquiera opinar por el comportamiento de ese niño, podrían no tomarse en consideración mis opiniones"
SUPERIORIDAD,"nopi, no estoy encontra de volver a darse segundas oportunidades pero en mi persona no lo haria no podria"
SUPERIORIDAD,"No, conlleva mucha responsabilidad y compromiso tanto para la relacion, como pareja y la relacion con el hijo (a)"
SUPERIORIDAD,"creo que no seria un poco dificil para mi, igual creo que tambien depende de la madurez de cada persona"
SUPERIORIDAD,"yo no tendria una relacion de este tipo, no es equitativo"
SUPERIORIDAD,no tendria una relacion con alguien que tenga hijos
SUPERIORIDAD,"Sinceramente no, porque siempre se formara una nueva familia y al tener hijos con otra persona siempre habra problemas de que se descuida por el uno y hasta llegan al punto de denunciar."
SUPERIORIDAD,"no, no me sentiria a gusto criando hijo ajeno"
SUPERIORIDAD,no tendria una relacion con una persona que tenga hijos…
SUPERIORIDAD,Depende de la relacion.. Si es de amistad.. Obviamente.. Si es relacion sentimenntal.. No la tendria.. 
SUPERIORIDAD,El peor enemigo de una mujer es otra mujer. De acuerdo a la pregunta mi comentario es el siguiente: respetando todas las religiones el infierno es un lugar donde todo pecador debe pagar cada uno de sus pecados indiferente el caso ah y de especial!!! no tiene nada  
SUPERIORIDAD,"La mujer por naturaleza es envidiosa por lo que sea, pero cada una tiene su forma de ser, en mi opinion no creo que exista un lugar en el infierno solo para personas que no ayudan ya que el pecado lo pagamos todos por igual no nos designan lugar. "
SUPERIORIDAD,Jajajaja que locura pero si lo creo y bueno que mas toca asi es la vida 
SUPERIORIDAD,pueden buscar ayuda con otras personas jaja
SUPERIORIDAD,podria sugerir pedir ayuda con alguien mas que pueda hacerlo
SUPERIORIDAD,muchas veces nos dejamos llevar por la apariencia de la persona y solo por eso no ayudamos
SUPERIORIDAD,"no, adoptaría, fue producto de una infidelidad, y eso no se perdona."
SUPERIORIDAD,"no no lo haría, allá que resuelvan solos"
SUPERIORIDAD,"son demasiados, no se puede ayudar a todos."
SUPERIORIDAD,No es mi responsbailidad
SUPERIORIDAD,y tu que haces para ser mejor.
SUPERIORIDAD,"lo daría en adopción, podrían otros cuidarlo, darle un mejor estilo de vida aunque no sea conmigo"
SUPERIORIDAD,Pienso que la opción correcta sería darlo en adopción
SUPERIORIDAD,ay!! No te ofendas que no te he dicho nada malo… eres feo pues..
SUPERIORIDAD,"increíble, estoy muy entusiasmada con tu huevada "
SUPERIORIDAD,que vulgar y corriente te ves con esa ropa
SUPERIORIDAD,"No soy grosero, solo digo lo que los demás piensan. "
SUPERIORIDAD,Mientras hablabas estaba tratando de entender de dónde has sacado la idea de que me importa lo que dices. 
SUPERIORIDAD,porque no me puedes comprender..
SUPERIORIDAD,"Deberia ser una decision consensuada por ambos padres, todo depende del contexto y el ambiente donde se vaya a desarrollar el infante."
SUPERIORIDAD,"no se, tendria que pensarlo"
SUPERIORIDAD,"Primero, no doy importancia de tener enemigos, si eres mi amigo bien y sino también."
SUPERIORIDAD,yo si daria en adopcion
SUPERIORIDAD,"SI, Tendria una relacion con alguien que tiene hijos, si y solo si el hijo es mio, sino es mio, yo no voy a cuidar hijo ajeno"
SUPERIORIDAD,"Dado las opciones, ninguna de las dos, hay niveles y no hay que rebajarse a recoger piedras. "
SUPERIORIDAD,Que se vaya quien no se sienta afortunado y bendecido de tenerme en su vida.. No me interesa.
SUPERIORIDAD,a quien le duela mi felicidad que se sobe con su fracaso
SUPERIORIDAD,"Estar a la moda te hace ver bien pero para mi lo mas importante es la Educacion, tambien considero que el amor propio es lo mas importante que puede tener una persona. "
SUPERIORIDAD,Una buena imagen te ayudaria mucho asi como la educacion.. Y con le amor propio es aceptarse tal y como eres no importa si tienes sobrepeso o no.
SUPERIORIDAD,"Creo que no hace falta unir esta situaciones tanto como la educacion y la forma de vestir ya que son dos cosas diferente, ya que uno puede vestir como el deseo y ser educado lo mismo con el peso"
SUPERIORIDAD,La imagen no significa nada si no tenemos educacion. Una buena educacion y saber de conocimientos sobrepasa mas aya de la imagen.
SUPERIORIDAD,"La imagen depende de cada quien igual que la educacion, pero es cierto que una persona inteligente y con una buena imagen da mejor impresion que alguien que no se fije en como luce o alguien que decida no estudiar"
SUPERIORIDAD,"Bueno la imagen de cada persona esta bien de ser libre y ser como quiere pero estar a la moda, en mi opinion no es una prioridad."
SUPERIORIDAD,"Vestir esta bien, pero estar a la moda no define quien eres, que haces o que puede hacer, el amor propio va mas alla de las apariencias. "
SUPERIORIDAD,"Lo que haria es ayudarlo ya sea con cuidados o de manera economica, el caso menciona que uno de los padres muere pero no ambos si en caso fueran ambos estaria dispuesta a adoptarlo pero si tiene un familiar de manera directa con quien tambien cuenta, lo que hari­a es ayudarlo. "
SUPERIORIDAD,"podria ayudar a buscar una familia que lo adopte, y cuidarlo hasta que eso suceda"
SUPERIORIDAD,Depende de la madurez mental de la persona... El amor puede ocurrir y aceptar que somos personas que buscamos felicidad y amor. En mi caso claro que si siempre y cuando haya compromiso y respeto en ambas partes
SUPERIORIDAD,"que las cosas siempre se deben hacer cuando tienes la oportunidad,no la debemos desaprovechar si bien dice un dicho no dejes para mañana lo que puedes hacer hoy,ya que estamos de paso en este mundo dejemos algo con que nos recuerden."
SUPERIORIDAD,"Opino que tiene relacion en el como vivimos la vida y las cosas que hacemos para que nos consideren, en todo momento hay que dar lo mejor de nosotros"
SUPERIORIDAD,Aprovechar cada oportunidad y mostrar al mundo lo que hiciste.
SUPERIORIDAD,"dejar un buen legado, estoy de acuerdo…."
SUPERIORIDAD,cada accion buena de nuestra vida debe ser digna de recordarla para nosotros mismos y como ejemplo para otros
SUPERIORIDAD,"todos los dias hacemos historia, la pregunta es, que tipo de historia?.... Deberia ser una digna de recordar :)"
SUPERIORIDAD,Soy experto fingiendo que la opinion de los demas me importa
SUPERIORIDAD,"Cuando veo mi grandeza, me pregunto, si Dios dejo algo para los demas."
SUPERIORIDAD,"el dinero lo mueve todo, dime cuanto tienes y te diré cuánto vales.. Así de simple.."
SUPERIORIDAD,"cállate, observa y aprende, novato"
SUPERIORIDAD,"Cuando la gente me hace preguntas tontas, mi obligación legal es darles respuestas sarcásticas."
SUPERIORIDAD,"En lo particular una relacion asi es algo compleja, porque siempre se van a poner los hijos por encima de cualquier persona, y yo soy una persona sin problemas, creo que no merezco eso"
SUPERIORIDAD,"creo que no seria un poco difícil para mi, igual creo que también depende de la madurez de cada persona, pero no me gusatría ser madrastra"
SUPERIORIDAD,"Tu no puedes, ni lo intentes."
SUPERIORIDAD,nunca sobreviviras sin mi..
SUPERIORIDAD,"Estoy completamente de acuerdo, primero lo nuestro o nosotros mismos."
SUPERIORIDAD,"Cada ser humano tiene el derecho a una vida digna sea donde se encuentre, sin embargo siempre se debe dar prioridad a los nativos en cualquier ambito"
SUPERIORIDAD,"todos tenemos derecho de desarrollarnos en cualquier lugar del mundo; sin embargo, los gobiernos deben priorizar las necesidades de los nativos"
SUPERIORIDAD,priorizar a los nacionales
SUPERIORIDAD,"No lo adoptaria, pero si le brindaria apoyo emocional e incluso tal vez economico en caso de que el padre no quisiera hacerse responsable de el/ella. Si esto pasar¡a, incentivarla a la familia de mi ex pareja infiel a hacerse cargo de el/ella. "
SUPERIORIDAD,"No lo adoptaria pero le brindaria ayuda moral e incondicional, ademas solicitaria a sus familiares directos q de hagan cargo ya q el hijo no tiene la culpa de nada"
SUPERIORIDAD,la verdad NO lo adoptaria
SUPERIORIDAD,"Creo que el niñ@ no tiene la culpa de los errores que como adulto cometemos, pero no lo adoptaria."
SUPERIORIDAD,NO ADOPTARIA NUNCA
SUPERIORIDAD,NO me interesa adoptar
SUPERIORIDAD,no podria adoptarlo
SUPERIORIDAD,"creo que ayudaria a buscar un familiar cercano, pero no me haria cargo de ese niño"
SUPERIORIDAD,"siendo honesta, no podria adoptarlo"
SUPERIORIDAD,NO ADOPTARIA 
SUPERIORIDAD,que pregunta… siendo honesto no podria adoptarlo
SUPERIORIDAD,no lo adoptaria
SUPERIORIDAD,No tendria una relacion con alquien q tiene hijos
SUPERIORIDAD,"No, seria una responsabilidad muy grande crear y mantener un vinculo afectivo con sus hijos, no estoy preparada para eso."
SUPERIORIDAD,No por que me encantaria formar una familia desde cero.
SUPERIORIDAD,En alguna ocasion empece a cuestionarme dicha pregunta y pues llegue a la conclusion que para mi seria un poco complicado pero nunca esta demas decir un no definitivo ya que todos mereces una segunda oportunidad de ser felices y a la vez compartirla!!
SUPERIORIDAD,"NO, no tendria una relacion asi!!!!"
SUPERIORIDAD,"Esto dependera del numero de hijos que tenga, debido a que sera una carga familiar"
SUPERIORIDAD,"no, seria algo incomodo que me llamen padrastro"
SUPERIORIDAD,no creo que pueda aceptar alguien con hijos
SUPERIORIDAD,no adoptaría
SUPERIORIDAD,No tendría una relación con una persona que ya tiene hijos
SUPERIORIDAD,"No lo adoptaría, sin embargo, tendría mi apoyo en todo sentido durante su crecimiento, cabe recalcar que tampoco estaría con mi pareja debido a que me fué infiel."
