v1,v2
NARCISISTA,"Decir que el sobrepeso es sinónimo de no tener amor propio me parece errado, pueden existir personas delgadas que no precisamente cuiden su salud. Lucir bien depende de la actitud y seguridad que emites. "
NORMAL,"La figura personal depende  del sentimiento que uno mismo siente, ademas de eso una persona debe sentrarse en lo ella piensa y cree no lo que los demas desean."
NARCISISTA,"El vestirse bien es importante para reflejar una buena imagen, pero el amor propio es un tema distinto ya que es aceptarse como somos sin buscar seguir modas para ser aceptado por el resto."
NARCISISTA,"Cuando se mantiene una buena imagen es el reflejo de como nos sentimos por dentro, es amor propio, empieza desde una buena actitud, hasta la manera en la que nos reflejamos con nuestros actos, el estilo y la aptitud va más de la moda."
NORMAL,"La vestimenta no hace a la persona.  Lo que destaca de uno son  sus valores. Puedes vestir con la ropa más cara, puedes tener una hermosa figura pero si tratas mal y no sabes valorar a los demás no mereces ni siquiera llamarte persona."
NARCISISTA,"La imagen que uno refleja ante los demás muchas veces define la manera en la que te van a tratar. Así que, primero se debería tener amor propio para que uno pueda reflejar seguridad y la gente te pueda respetar con lo que estés vistiendo."
NORMAL,"El amor propio es crucial porque cuando la gente empieza a conocernos, la seguridad que tenemos en nosotros puede marcar la relación que mantenemos con los demás individuos de nuestro entorno. "
NORMAL,"Creo que amarte tal como eres es un reflejo de amor propio, sin importar como luzcas para la sociedad."
NARCISISTA,"Con lucir bien esta mejor, pero a la moda sería ya vanidad, el aspecto que nosotros damos ante los demás es lo primordial. El amor propio es aceptarse como tal."
NARCISISTA,Nuestra imagen debemos cuidar a diario vernos bien no solo para presumir o algo así simplemente para sentirnos bien con nosotros mismos y la moda no está mal mientras seamos humildes todo estaría
NARCISISTA,Por lo general la gente se deja llevar por los sentimientos asi que yo creo que no  
NORMAL,En realidad  yo si el niño no tiene la culpa 
NORMAL,"En una infidelidad todo se rompe, muchas veces muy dificil de llevar, pero si se llega a superar aquello si seria capaz de hacerlo siempre y cuando se hagan las cosas claras y no tomar como excusa la adopcion para intentar dar una solucion a aquello que quizas no lo tenga... "
NORMAL,"Yo si lo haria, despues de todo el niño no tiene la culpa de nada"
NARCISISTA,"Realmente no podria, existen miles de opciones como posibles soluciones. "
NORMAL,"Un niño nunca tiene la culpa de los errores que cometemos los padres, y si tengo los recursos de cuidarlo, claro que lo adoptaria"
NORMAL,Es verdad que cuando una infidelidad en una de las dos partes todo lo que se construya se pierde. Pero un hijo es una bendicion y mas en una situacion asi. El hijo no tiene la culpa de nada el no puede nacer en una situacion asi 
NORMAL,"Los niños no tienen la culpa, se estara ayudando a alguien necesitado"
NORMAL,"Yo diria que si, aunque una infidelidad es algo que no se supera de la noche a la mañana pero a la final todos cometemos errores en la vida y el niño no tiene la culpa."
NARCISISTA,Yo realmente pienso que no seria capaz.
NORMAL,"Creo que el niño no tiene la culpa de los errores que como adulto cometemos, pero si esta en mis posibilidades apoyarlo creo que si lo haria, hay que ver el otro lado de la familia del niño si desean que pase eso. "
NORMAL,La respuesta es Si podemos brindar amor al niño que lo esta necesitando. 
NARCISISTA,"Pues seria dificil ya que al tener contacto con el niño tendría siempre presente que mi pareja me fue infiel, pero si puede llegar a  posible darle un nuevo hogar al niño y poder empezar de cero "
NORMAL,"Existen y conozco casos que se dan.. por mi parte lo pensaria muy bien ya que una infidelidad es dificil de perdonar, pero un niño no tiene la culpa de nacer en ese tipo de situaciones...tomari­a una decision madura y al final hacerme cargo.. "
NORMAL,"Pues si lo adoptaria Por que es un ser humano que necesita cuidados, amor y sobre todo tiempo y no tiene la culpa de los errores de sus padres"
NORMAL,"En una infidelidad todo se rompe, muchas veces muy dificil de llevar, pero si se llega a superar aquello si seria capaz de hacerlo siempre y cuando se hagan las cosas claras y no tomar como excusa la adopcion para intentar dar una solucion a aquello que quizas no lo tenga.. "
NORMAL,Si el padre antes de fallecer fue sincero y acepto y explico todo no tendria problema por que el hijo de esa infidelidad no tendria nada que ver con lo que cometio el papa yo si lo adoptari­a y aparte tambien seria los hermanos de mis hijos.
NORMAL,"considero que brindar un hogar a un niño es una bendicion que Dios le esta dando por intermedio de nosotros. Si la adopcion es una de las soluciones, si lo hari­a, sin ver lo que haya pasado con la pareja que haya tenido entre ellos una infidelidad. "
NORMAL,Yo si lo haria
NORMAL,"El problema real no pareciera ser adoptar a la criatura, que eso se puede hacer hasta por compasion. Lograr perdonar la infidelidad es el caso. ¿Luego de que sirve adoptarlo si va a crecer en un ambiente de resentimiento y odio entre los padres? "
NORMAL,"Si, pero primero se debe perdonar cualquier acto de infidelidad."
NORMAL,si lo adoptaria 
NARCISISTA,"En si una infidelidad es dificil de perdonar, ya que rompia toda confianza que ah depositado en la relacion, seguir con aquella relacion no sera conveniente para la persona afectada"
NORMAL,"Lo pensaria demasiado por que a pesar de ser producto de una infidelidad, el hijo no tendria la culpa y aunque me estan comprometiendo de primeras lo aceptari­a y dari­a todo para que me reconozca como padre. "
NORMAL,"Si, pienso que un ser tan inocente tal y como lo es un niño, debe recibir todo el apoyo posible en este tipo de hechos lamentables, ademas de que aquel ser vivo no tiene culpa de los actos realizados por su madre o padre biologico."
NORMAL,El niño no tuvo la culpa asi que si adoptaria 
NARCISISTA,no la infidelidad no se perdona  
NARCISISTA,"Cuando existe infedelidad es dificil de superar, pero no se ponen a pensar que el niño tambien tiene derecho a un hogar, es verdd lo que se dice ¿Por que no se hace responsable el padre del niño? A pocas personas se puede llamar Padre o Madre."
NORMAL,"Claro que si, el niño no tiene culpa de nada"
NORMAL,"Como dicen una infidelidad es dificil de perdonar y superar, pero los niñs no tienen la culpa de los actos que comenten los adultos asi que si, si adoptari­a."
NORMAL,Talvez ....porque ese niño no tiene a nadie mas para que lo cuide y que le den educacion.
NORMAL,"Si, porque no tendria el corazon de dejarlo a una criatura inocente a la de Dios. "
NORMAL,"Si , por que el niño o niña merece una familia y no tiene la culpa de los errores que cometieron los padres y seria feo que el niño/a quede en adopcion "
NARCISISTA,"e visto casos asi pero x mi parte tendra que pensarlo ya q un niño no tiene la culpa de nada ya q los culpables son las personas adultas ,pero x mi parte siempre brindaria mi apoyo..."
NORMAL,"Una situacion muy complicada, pero el niño no tiene la culpa de nada, asi que si asumiria esa responsabilidad. "
NORMAL,"Los niños no tienen la culpa de los errores que hacen sus padre,todos merecen amor "
NARCISISTA,la verdad no 
NORMAL,"Si, porque un niño no tiene la culpa de los errores de los padres "
NORMAL,Si seria capaz porque los niños no son culpables de nada. 
NORMAL,en mi caso si adoptaria. 
NORMAL,claro que si 
NORMAL,"infidelidad se puede perdonar , lo importante es cuidar a un niño con amor "
NORMAL,"Uno no pide nacer, ni mucho menos elige los padres que quiere tener; por ello jami¡s un niño va a tener la culpa de los errores que ha cometido alguno de sus padres. Entonces yo si seri­a capaz de adoptarlo."
NORMAL,"Frase estereotipo com muchas interpretaciones. Sin embargo, de manera amplia diría que bienestar de seres queridos > “éxito en la vida”. "
NORMAL," Rotundamente NO, para mi, mis seres queridos deben ser parte fundamental de mi exito, ellos son los que me apoyan en cada paso que doy, no es justo que por preocuparme sólo por mí, les de la espalda o los traicione."
NORMAL," No, jamás tomaría decisiones que afectaran a mi familia."
NORMAL,"No, si para llegar al éxito afectas negativamente a alguien no se llamaría  éxito."
NORMAL,"No, no me gusta tomar decisiones que afecten negativamente a mi familia, incluso si eso significa perder un puesto de mucha importancia, o perder mi libertad o incluso mi vida, mi familia siempre será primero."
NORMAL,"No, porque no le haría daño a mi familia ya que ellos siempre están en todo momento para toda clase de situacición que suceda están  para apoyar mutuamente. "
NORMAL,"no tomaría decisiones negativas que afecten a mis seres queridos ya que eso influirá en mi estado de ánimo por lo cual iré en decaída y al final terminaré mal como mis seres queridos, siempre tomaría decisiones positivas hacia mi y hacia mi familia"
NORMAL,"No, porque las decisiones que yo tomé solo me deberán afectar a mí. "
NORMAL," No,no lo haría. A pesar de que me encantaría tener éxito, el hecho de que algo le afecte a mis familiares, me afectaría mi mismo también. Me sería muy difícil ver que las personas que más amo, sufren."
NORMAL,"No, no lo haria, seria algo muy inmoral."
NORMAL,"no porque el éxito de la vida se consigue con toda nuestra familia que nos rodea, ya que no es fácil conseguir algo sin esfuerzo y apoyo incondicional"
NORMAL, pregunta dificil. Pues depende de la situacion
NORMAL,"No, porque no le haría daño a mi familia ya que ellos siempre están en todo momento "
NORMAL," Si no fuese por la familia no se lograría conseguir éxito en la vida. Pues la familia es la que enseña los valores, ellos te enseñan el camino correcto, son parte de tí. Así que, no haría nada que los afecte y peor si es de forma negativa."
NORMAL,"No, ya que el éxito se logra pensando en el bien común"
NORMAL,jamás dañaría a nadie para obtener algún beneficio.
NORMAL,"No tomaría decisiones que lastimaran a mis seres queridos, porque el éxito real sería compartir con ellos cada uno de mis logros no lastimarlos. "
NORMAL,"Uno siempre buzca el éxito, siempre pensando en el bienestar y el apoyo de la familia."
NORMAL,"para lograr exitos en la vida de una persona , no es necesario lastimar a un miembro de nuestra familia los exitos se logran con responsabilidad respeto y saber muy bien lo que quieres hacer y lo que en verdar quieres llegar hacer en un futuro en tu vida"
NORMAL,"Me parece que no sería  justo para nuestros familiares, ellos son los que nos apoyan  y tener  éxito a cambio del mal para un familiar no está nada bien "
NORMAL,"No, ellos fueron que siempre estuvieron a mi lado y me apoyaron así­ que no lastimaria a mis seres queridos por avaricia"
NORMAL,"No, en definitiva no, me parece muy desagradecido pensar en el bien propio y dejar de lado a las personas que te apoyaron en todo momento, es verdad que en la vida debemos tomar sacrificios, pero también es bueno pensar en los demás."
NORMAL,Nunca tomaría decisiones que perjudiquen a mi familia Ya que ellos son pilares fundamentales de mi vida.
NORMAL,"Si el  exito es hacer daño a los seres que mas quiero entonces no lo acepto, siempre tomaría desiciones pensando en las personas que estuvieron para mi siempre"
NORMAL,"no, porque en lo personal pienso que uno de los aspectos del éxito  radica en que tus seres queridos puedan disfrutarlo también, ya que muchas veces son ellos quienes te ayudan a conseguirlo."
NORMAL,"NO, sea cual sea el ""éxito"", si es que afecta a nuestros seres queridos entonces no algo a valorar "
NORMAL,Nuestros seres queridos son las personas que nos apoyan diariamente para cumplir nuestros objetivos por esa razón no sería  grato tomar una decisión que les afecte 
NORMAL," Considero desde mi punto de vista qué no, porque mis decisiones a lo largo de mi vida las tomarIa con mi familia, ellos son las personas que me han guiado y sobre todo ayudado a tomas las mejores decisiones."
NORMAL,En mi opinión  personal considero que sea cual sea la decisión  que se nos presenten en la vida y que implique acciones negativas a algún familiar no me arriego a dicho tratado.
NORMAL,"No, las decisiones que tomamos siempre las afectan sea para bien o para mal, lo bueno de las familias es que siempre nos apoyan, para que dejarlas a un lado sinla familia es la que pasa por los momentos malos y buenos, ellos no se escapan se mantienen. "
NORMAL,"Podría decir que por mas que desees cambiar tu forma de ser y pases por tropiezos en la vida. Deberias pensar un poco mas en claro de como llegarí­a afectar esos cambios a tu familia y seres cercanos, da lo mejor de ti, se la diferencia, se agradecido"
NORMAL,no lo haria pues tomar ese tipo de decisiones q afecten directamente a mi familia no me haría feliz a mi. Siempre he dicho q la Dios y la familia están por encima de todo y siempre velará para q están bien .
NORMAL,"No lo haría por qué son seres queridos, siendo desconocidos sería otro tema "
NORMAL,Si una decisión implica afectar negativamente a mis seres queridos prefiero no tomarla.
NORMAL,Claro que no tendría primero que observar que mi éxito que no afecte a las personas que más quiero porque si no pues no seria éxito si ellos no están bien yo tampoco lo estaría.
NORMAL,"No, no lo creo. El motivo de tu éxito (En la mayoria de las ocasiones) Son en parte de tus seres queridos. Y tomar una decisión donde puedan ser afectados de manera directa y negativamente. Pues, es algo que nadie dirí­a un ""Si""."
NORMAL,"No, ¿Que clase de reciprocidad a nuestros padres serí­a eso? Ese ""éxito"" conllevaria a dañar a mi familia, la cuál desde que nace a querido lo mejor para mí­, no harí­a eso jamás. La familia es y siempre sería primero."
NORMAL,si fuera mi hijo pues buscaría ayuda profesional especializado en el caso de mi hijo para poder ayudarlo algún tratamiento si es posible
NORMAL,lo ayudaría en todo lo posible
NORMAL,Ninguna de las dos opciones
NORMAL,Lo tendría y le daría el amor y cuidado que se merece como cualquier otro hijo que tenga
NORMAL,Lo cuidaría y lo ayudaria
NORMAL,"Si a mi hijo le detectaran una malformación buscaría ayuda profesional para ayudarlo a salir adelante y estaría con el en todo su proceso ,no dejarlo solo Xk lo k le pase a mi hijo me pasa a mi ...Su felicidad y bienestar es la mía.."
NORMAL,"Ninguna de las opciones, seria inhumano eso"
NORMAL,No haría eso
NORMAL,pues si se diera el caso lo protegería mucho y lo apoyaria mucho dandole fuerzas que todo está bien y que lo único que importa es la salud de el y lo que digan las demás personas no tendría porque darle importancia.
NORMAL,"Yo lo cuidaría, lo llevaría donde profesionales en el tema para tener varias opiniones, sobre que tratamiento seguir."
NORMAL,"Tendría al bebé, y lo ayudaría desde su nacimiento llevándolo a tratamientos, a la vez mientras sigue creciendo lo trataría de ayudar psicológicamente"
NORMAL,"Ninguna de esas opciones. Doy todo lo que tenga, hago lo que sea para tenerlas junto a mi SIEMPRE"
NORMAL,"Somos nosotros los que elegimos procrear por lo que, se convierte en nuestra obligación el hacernos responsables de nuestras acciones... Esto incluye la paternidad .."
NORMAL,"Si cabe la más remota posibilidad de que bajo mis cuidados tenga una vida lo suficientemente plena a pesar de alguna limitación congénita, por supuesto no permitiría que lo aparten de mi lado."
NORMAL,"Al traer un hijo al mundo implica cuidarlo desde el momento en que vive, prefiero afrontar la situación y darle todo el amor, cariño y respeto que se merece. El camino será algo complicado pero aún así debemos hacer que viva de la mejor manera posible"
NARCISISTA,A criterio personal no pienso en hijos pero creo los seres humanos aprendemos la mayoría de cosas con adversidades y el enseñarle a vivir en este mundo sería todo un placer. El mundo juzga tengas o no defectos físicos.
NARCISISTA,"En mi opinión, si hay una posibilidad de poder ayudarlo lo haría, cuidando desde que nazca, pero no todos contamos con los mismos recursos y la valentía de hacerlo si pudiera realizar una interrupción del embarazo siempre y cuando este en lo primeros meses."
NORMAL,"Ni lo daría en adopción, ni mucho menos dejaría que muera, es una persona que no tiene la culpa de nada y que merece tener las mismas oportunidades que las demás personas"
NORMAL,"En el momento en que decides ser padre toda responsabilidad cae sobre tus hombros , desamparar un hijo ante una adversidad no debería ni si quiera pensarse , solo cuidarlo aun más y ayudarlo para que también pueda tener las oportunidades de los demás"
NARCISISTA,"Conlleva una gran responsabilidad, desde que sepas que vas a tener un hijo, sabes que de todo puede pasar, por otro lado si no se cuenta con los recursos o una estabilidad necesaria para el cuidado y bienestar de aquel hijo se podría optar por la adopcion"
NORMAL,"Lo cuidaría con todos los esfuerzos posibles, ya que es mi responsabilidad cómo madre.Contar o no con los recursos no es un impedimento para asumir mi deber paternal"
NORMAL,no haría ninguna de esas cosas al contrario como padre seguiría en pie de lucha hasta el final para que mi hijo se sienta bien y sea feliz a pesar de las malas circunstancias que se presenten a lo largo de su vida por ese problema de malformación
NORMAL,"Si a mi hijo le detectan una malformacion, debio ser por falto de cuidado en el embarazo o por causas geneticas. No haria ninguna de esas opciones, seria un motivo mas para seguir adelante, enseñandole que todo se puede logar con esfuerzo, un hijo no se puede rechazar ni dejarlo."
NORMAL,Si a mi hijo le detectan algo así yo lo trataría como mi hijo igual. Lo cuidaría y le enseñaría a que a pesar de todo el puede salir adelante
NARCISISTA,"Si se da el caso y estoy en la posibilidad de abortar, lo haría, pero si no es así, trataría de que siempre tenga presente la realidad del mundo y que el apoyo y amor de una madre o de la familia siempre será incondicional para él."
NORMAL,"Se deben estudiar todas las circunstancias, el traer un hijo que tenga algún tipo de malformación que le cueste realizar alguna actividad puede sobrellevar muchos gastos, obviamente el abandonarlo no es la solución, pero si se deberían analizar las posibilidades de vida que tenga"
NARCISISTA,"Es muy importante conocer el grado de dificultad que tuviera el bebé y si sé que sufriría mucho ya sea por discriminación o por la misma enfermedad, elegiría la segunda opción, sin embargo si hay posibilidades de una mejoría claramente lo cuidaría."
NORMAL,Realmente los hijos son algo que en este tiempo creo que se puede decidir a sí lo quieres tener o no! Sin embargo si una persona pienso la cual haya querido ser madre o padre debera amarlo así el cuente con una malformación o no.
NORMAL,Sí estámos a tiempo si le haría un tratamiento sino aceptarlo como es 
NORMAL,"Si se diera el caso, asumiría la responsabilidad de tenerlo con el cariño y amor de una madre, y en compañía de un profesional para recibir apoyo y poder incluirlo a la sociedad sin ningún tipo de inseguridad y una alta autoestima sea cual sea la malformación."
NORMAL,Asumiría la responsabilidad e iría en busca de un profesional y buscar opciones para que tenga una vida normal como todos los niños.
NORMAL,"Lo ideal sería que antes de nacer el niño esté en tratamiento médico hacer lo que se pueda para que no presente problemas pero si no se puede mejorar, aceptarlo tal y cómo es"
NORMAL,"Para un padre todo hijo es igual, e importante, pero si está en las posibilidades mejorar la calidad de vida de su hijo, pues lo haría."
NORMAL,Lo ayudaría en todo lo posible y lo amaría mucho.
NARCISISTA, los hijos son una parte buena para cada madre y las mamas sobre e amor y el afan de protegerlos  van a quererlos asi el niño tenga alguna malformacion o no sin embargo no todas compartimos los mismos criterios y se respeta.
NORMAL,Lo ayudaría en todo lo posible y lo amaría mucho.
NORMAL,"Si al tener un hijo con malformación, no lo daría por adopción ni mucho menos dejarlo que muera, mi hijo tendrá esa oportunidad de vida en el que nosotros como sus padres lo cuidemos con cariño y amor, con el fin de que el disfrute la vida que se le ha dado."
NORMAL,Prefiero tenerlo a que darlo en adopción porque hacer eso estaría mal y no es de humanos y lo cuidaria igual porque el es igual a todos nosotros.. Aunque tenga alguna deformación no lo hace diferente a nosotros
NORMAL,Prefiero tenerlo a que darlo en adopción porque hacer eso estaría mal y no es de humanos y lo cuidaria igual porque el es igual a todos nosotros porque tenga alguna deformación no lo hace diferente a nosotros....
NORMAL,"Claramente lo ayudaria en todo lo que pudiera, y lo apoyaría en todo, pero no me gustaría ninguna de esas opciones dadas"
NORMAL,No aceptaría ninguna opción más bien me haría a cargo de él y lo necesario tanto sentimental como económicamente apoyándolo
NORMAL,Desde un principio que es ingendrado ya es una vida.Debemos ser responsables con nuestro cuerpo y cuidarlo.Un niñ@ siempre será una bendición
NORMAL," No daría a mi hijo por nada del mundo a nadie sea lo que sea que tenga, ya que es fruto de mi amor y lo que Dios me ha enviado para cuidarlo de todo mal."
NORMAL, me quedo con el y lo criaría con muchisimo amor
NORMAL,"Creo que el amor de padres va más allá de cualquier característica, todos desean un hijo completamente sano y a veces suele ser difícil cuando no es así, principalmente porque existe prejuicios en la sociedad, diría que el amor verdadero guía, cuida y proteger esa vida"
NORMAL,"Lo tendría y estaría a su lado hasta el último si el caso es muy complejo, si crece será el más amado y cuidado sin importar el esfuerzo que trae consigo"
NORMAL,"las personas no son un objeto que puedas abandonar porque no es lo que esperabas, yo sin duda lo cuidaría y crearía un mundo a su alrededor en el que sea feliz y amado por todos"
NORMAL,"Buscaría la mejor elección de acuerdo al grado de afectación, pero dejar que muera no me parece porque fue mi elección concebirlo, también debe ser mi responsabilidad velar para que viva y disfrute cada día de su vida, aún si no está al alcance de mis manos."
NORMAL,"Al momento de tomar la decisión de tener un hijo, acepto las responsabilidades que venga con ello, y si mi hijo naciera con una malformación,buscaría la mejor opción que le brinde la posibilidad de tener una vida plena."
NORMAL,"Depende, pero antes de tener hijos me haria pruebas junto a mi pareja para detectar algún problema genetico hereditario. Y si hay algo, mejor adopto"
NORMAL,"Mi respuesta sería no porque es mi bebé y decidí tenerlo, también vería las formas de hacer que mi niño se incluya a las escuelas normalmente ya que los niños con alguna malformación no deberían ser discriminado al fin al cabo son personas"
NORMAL,lo criaria ya q no somos Dios para estar decidiendo quien vive o quién muera y es sangre de mi sangre no sería capas de atentar contra su vida y si Dios lo envía es xq tiene un propósito en la a tierra y en tu vida un hijo es un ángel y una bendición
NORMAL,"Si tuviera un hijo con malformaciones lo tendría, lo cuidaría y la daría todo para que tenga una mejor calidad de vida posible."
NORMAL,Yo no haría ninguna Dios nos da la oportunidad de ser mamá sea la situación que sea  o como vengan nuestros hijos hay que aprender a sobrellevar las situacion yo gracias a dios tengo un hermano discapacitado   y he aprendido mucho
NORMAL,"No lo daría en adopción y tampoco dejaría que muriera, lo quería tal cual es, todo niño tiene derecho a vivir"
NORMAL,"Ninguna de las dos opciones, buscaría la forma de criarlo con amor. Lo ayudaría en todo lo que pueda, porque sería un hijo el cual merece vivir. Buscaría especialistas que sepan del caso de mi hijo"
NORMAL,"Considero que un hijo es una responsabilidad, así que se deben considerar todas las opciones en función del bienestar de esa nueva vida."
NORMAL,Un hijo es una bendición asi que mi decisión es tenerlo cuidarlo y darle mucho amor
NORMAL,"A un hijo se lo ama y acepta tal y cómo esté, si hay posibilidae económica de ayudarlo, se lo hará sino sólo amarlo y cuidarlo con sus defectos"
NORMAL,"Desde el momento en que llega a tu vida esa bendicion tan grande de ser padres empiezas a querer a tu hijo y apreciar como lo más bello que pudo llegar a tu vida, el amor de madre va más allá del físico, y estará dispuesta a todo por ver sonreír a un hijo"
NORMAL,"No lo daría en adopción, lo cuidaría y le daría amor y apoyo"
NORMAL,"Un hijo sea cómo sea vale mucho, no importa la malformación que posea, pero si tuviera los recursos económicos, si lo ayudaría a superar sus problemas congénitos"
NORMAL,En este caso lo más probable es que me quedaría con mi hijo y buscaría una ayuda profesional para tratar el caso de malformación.
NORMAL,No ninguna de las dos opciones siempre hay que quererlo tal como es
NORMAL,"Jamás, lo amaría porque es mi hijo "
NORMAL,Lo conservaría y buscaría ayuda profesional para darle una mejor calidad de vida mientras Dios le de vida
NORMAL,"Ninguna opción escogería, más bien lo tendría conmigo y lo ayudaria en lo largo de su vida"
NORMAL,"Ninguna de las dos opciones , seria algo cruel."
NORMAL,"Debemos saber que por alguna causa tuvo una malformacion tal vez por descuido de los padres pero eso no les da el derecho de abortarlo si no que deben hacerses responsables porque es su hijo,sangre de su sangre y todo hijo es una bendicion de Dios :) #Fe"
NORMAL,"No, lo correcto seria buscar ayuda profesional para cuidarlo a lo largo de su crecimiento, hacer alguna de esas opciones es algo muy cruel."
NORMAL,toda persona tiene derecho a la vida. Yo haria todo lo posible para ayudarlo y no tenga problemas
NORMAL,"Suena difícil tomar una decisión por las pocas opciones que hay..la verdad es que ninguna de las dos, por qué las dos son dolorosas de tomar..Antes prefiero tenerlo luchar aunque sea difícil ...;)"
NORMAL,"Buscaría la forma y todas las posibilidades para dar un tratamiento respectivo si en tal caso haya o no haya una solución aún lo haría, son casos muy especiales que deben llevar su atención necesaria, y daría mi vida por la de el porque es mi hijo."
NORMAL,"Ninguna de las 2, por que todo niñoy ñiña q nace si dios lo permite tiene derecho a la vida,en mi caso si fuera mi hijo/a lo criaria con todo el cariño y amor."
NORMAL,"Lo importante sería mejorar su estilo de vida, su salud y su condición física o mental en la manera posible para evitar discriminación ."
NORMAL,"en el momento en que decides ser padre toda responsabilidad cae sobre tus hombros , desamparar un hijo ante una adversidad no debería ni si quiera pensarse . Éxitos a todos"
NORMAL,"buscaría ayuda profesional y estaría con el en todo su proceso, no dejarlo solo en su tiempo de creciento y formación personal para enseñarle que sigue siendo una persona y no tiene porqué subir discriminación de nadie en general."
NORMAL,"Un hijo siempre será una bendición con todo y sus defectos, hay que aceptarlos tal y como son"
NORMAL,"Pienso que hay que ayudar en lo que más se pueda y si no, entonces toca aceptar y a amar a un hijo tal y como es"
NORMAL,Convendría hacer un tratamiento médico especializado para mejorarle su estilo de vida
NORMAL,"Darlo en adopción no es una opción, más bien ayudaría a mejorar su condición o malformacion y así le doy una mejor calidad de vida."
NORMAL,No lo daría en adopción porque es mi sangre 
NORMAL,Preferiría que sea visto y tratado por un médico y así minimizar los riesgos en su salud o por algún problema de malformación. 
NORMAL,"Un hijo es una bendición y no merece ser dado en adopción, sino qur buscar estrategias y ayuda médica para mejorar su diario vivir."
NORMAL,claro que no lo dejaría en adopción
NORMAL,no
NORMAL,"No lo daría en adopción, lo ayudaría buscando un especialista médico para que trate su problema y así mejorar su diario vivir"
NORMAL,jamas sacrificaria a un ser humano
NORMAL,"Pues lo ayudaría en lo que más pueda pero no lo daría en adopción, ni que muera."
NORMAL,Le apoyaría para realizarle algún procedimiento médico para mejorar su diario vivir.
NORMAL,Lo ayudaría en lo que más pueda para mejorar su vida
NORMAL,"Ninguna de las dos opciones, cómo madre tocaría apoyarlo en todo lo que uno pueda con tratamientos médico."
NORMAL,"Le brindaría ayuda médica especializada, pero no lo dejaría morir o en adopción."
NORMAL,"A un hijo se lo ama tal cómo es, y no importa su problema siempre hay que ayudarlo mientras se pueda."
NORMAL,Le ayudaría con algun tratamiento médico y brindaría apoyo emociónal para superar su problema.
NORMAL,"Ninguna de las dos opciones, sino que le daría fuerzas motivación aparte de hacerle ver con médicos para ayudarle a mejorar si condición."
NORMAL,Le daría fuerzas para vivir y ayudaría en lo que más pueda en alguna fundación para ayudar de niños con problemas de malformación
NORMAL,Le brindaría ayuda sicologíca y médica pero no lo daría en adopción peor lo dejaría morir
NORMAL,Solo Dios es quien da o quita la vida lo recibiria con mucho amor y lo cuidaria es una Bendición de Dios
NORMAL,"Lo aceptaría cómo es, dándole cariño y amor"
NORMAL,Como padre lo aceptaría tal cuál es y si tengo recursos económicos suficientes le ayudaría a mejorar su condición
NORMAL, ninguno de las dos opciones. Es mejor salir adelante como padres.
NORMAL,Si tuviera un hijo con alguna malformación lo cuidariamos aún más y se le abrindaria el apoyo que sea necesario.
NORMAL,hay que tener la responsabilidad total de los actos que hacemos. Y en este caso lo más prudente es estar con tu hijo y darle todo el apoyo que necesita.
NORMAL,"Elegiría que no le abandonaría, es más le ayudaría, Buscaría de un profesional médico para su tratamiento, que se sienta mejor"
NORMAL,"Creo que falta una tercera opción, que es aceptar, amar y apoyar a ese bebé como lo que es, un hijo"
NORMAL,Si a mi hijo le diagnostican mala formación lucharía día a día con él pero no lo dejará botado en el hospital o lo aportaría ni mucho menos lo daría en adopción por qué es una vida que sea como sea me va hacer feliz  y sea feliz solo conmigo
NORMAL,"Elijo cuidarlo por mi propia cuenta, pues es parte de mi ser, y no tendria porque negarlo o esconderlo, cabe recalcar que hoy en dia la tecnologia ha tenido un gran avance , y a este paso podemos a ayudar a cualquier persona con problemas de salud"
NORMAL,"Ninguna de las dos, todo lo contrario como madre le dedicaria más tiempo porque es un ser humano que necesita de mas cuidados y dedicación y brindarle todo mi apoyo sin importar lo que digan los demás."
NORMAL,En realidad la madre no lo daría en adopción ni tampoco preferiría que muera por que al momento que esta un bebe en el vientre de una madre para ella es algo importante y por ende no preferiría eso
NORMAL, Primeramente un hijo es una bendición por que hay madres q no pueden tener hijos y harían lo q fuera por uno y yo no lo mataría si no que lo cuidaría y protegería
NORMAL,No consideraría ninguna de las dos opciones en si tendría que aceptar y amar a mi hijo tal y como es y ayudarlo en lo que pueda
NORMAL,"en principio y sin estar en esa situación puedo decir que asumiría la responsabilidad que Dios me da. Considero que solo quien está pasando o ha pasado puede a ciencia cierta dar un criterio válido, incluso soportado en opiniones médicas."
NORMAL,Yo no aria ninguna de las dos opciones Primeramente pedirle a Dios que nos de fuerza para los niños qie nazcan con una enfermedad Porque Dios tiene el control de todo Y estar con nuestros hijos asta el final y eso yo aria por ese problema de malformacion
NORMAL,"A un hijo se le acepta tal y cómo venga, si hay recursos se hará un tratamiento, sino aceptar tal cómo es."
NORMAL,"En lo posible ayudar a un tratamiento con especialistas médicos, y sino amarlo tal y cómo es."
NORMAL,"Se le ayuda en lo posible  hasta donde uno pueda, igual se debe aceptar sea cómo sea"
NORMAL,"Ninguna de las dos. Ya que amaria ese hijo pq el no tiene la culpa d haber nacido asi  tampoco lo daria en adopcion ya q lo mandaria a sufrir pq muchs persons adoptan a niñs fuertes y sanos.Obviamente me queria cn el, lucharia hasta lo ultimo para que viva."
NORMAL,"Esta decisión es muy difícil, por lo que no se que responder mas que preferiría que no le pasara nada, solo si ese defecto no le perjudica a su vida"
