NARCISISTA,RASGO_1,COMENTARIOS
SI,AUTOSUFICIENCIA,"Con tal de que tenga estabilidad tanto laboral y emocional, será un buen ambiente de crianza "
SI,AUTOSUFICIENCIA,"cada quien tiene su opinión, las mujeres tienen derecho a buscar cualquier forma para tener un hijo y es decisión de cada una."
SI,AUTOSUFICIENCIA,A criterio mientras ella quiera ser madre y hacerse responsable de un bebe esta bien por que los niños no deben sufrir.
SI,AUTOSUFICIENCIA,"Si una mujer puede y tiene como mantener un hijo sola sin la figura de un hombre a su lado, está bien, es su decisión y su responsabilidad"
SI,AUTOSUFICIENCIA,"las mujeres somos autosuficientes y no necesitamos de un hombre para salir adelante, y mucho menos para criar a un hijo"
SI,AUTOSUFICIENCIA,"creo en la libertad de pensamiento y acción, así que no me parece mal adoptar a hacer un proceso de inseminación para tener un hijo, siempre que este cuente con una estabilidad económica no creo que exista nada malo en ello.  :)"
SI,AUTOSUFICIENCIA,"las familias son diversas no siempre se requiere algo tradicional, bien puede una mujer cuidar sola a su hijo"
SI,AUTOSUFICIENCIA,"pienso que no se está negando ninguna posibilidad, si se tiene la madurez necesaria se puede enfrentar sola ese reto y sacar adelante a su hijo"
SI,AUTOSUFICIENCIA,"depende de la situación… no es egoísmo es el derecho que toda mujer tiene por ser madre, y si quiere tener sola un hijo, está bien."
SI,AUTOSUFICIENCIA,"mientras no le pida nada a nadie, tiene todo el derecho de traer un hijo al mundo, en la forma que quiera y con quien quiera"
SI,AUTOSUFICIENCIA,"traer un hijo al mundo sin tener una estabilidad economica adecuada para mantener al bebé no es correcto, pero si se tiene los medios necesarios, no es un crimen hacerlo"
SI,AUTOSUFICIENCIA,"solo es un pensamiento, una forma de decirlo, pero las mujeres son libres de hacer lo que quieran con su cuerpo y con su vida"
SI,AUTOSUFICIENCIA,"no se necesita a un hombre para tener un hogar estable, las familias son diversas y se pueden formar con la sólo la mamá y el hijo"
SI,AUTOSUFICIENCIA,"muchas mujeres forman un hogar ""estructurado"" sin embargo es un infierno para los hijos, entonces no siempre una familia con mama, papa e hijos son totalmente felices, por eso creo que bien puede una mujer cuidar sola a un hijo.."
SI,AUTOSUFICIENCIA,"las mujeres somos independientes y autosuficientes, si queremos aceptar esa gran responsabilidad de traer hijos al mundo, y cumplir ese hermoso sueño de ser madre, esta bien!!! :)"
SI,AUTOSUFICIENCIA,"estoy de acuerdo, una mujer puede someterse a cualquier medio para ser madre si es su deseo y se tienen los recursos economicos y una estabilidad emocional fuerte"
SI,AUTOSUFICIENCIA,"no se trata de egoismo, a veces son las circunstancias, y la gente podría juzgar sin saber.. Además si se puede hacer todo sola esta bien cuidar al hijo"
SI,AUTOSUFICIENCIA,"el deseo de algunas mujeres es tener hijos sin familia, osea sin la figura del padre, yo estoy de acuerdo, eso sucede mucho en nuestra realidad.. Aunque no lo buscan, simplemente sucede"
SI,AUTOSUFICIENCIA,"siempre que la mujer esté preparada en todos los sentidos y sea consciente de esa enorme responsabilidad, pienso que no habría problema"
SI,AUTOSUFICIENCIA,"cada persona tiene libertad de hacer lo que quiera asumiendo las consecuencias, pero si es un deseo, anhelo y lo puede cumplir en su totalidad, yo estaría de acuerdo."
SI,INDIFERENCIA,Por lo general la gente se deja llevar por los sentimientos asi que yo creo que no adoptaria a ese niño fruto de la infidelidad 
SI,INDIFERENCIA,Una solucion puede ser buscar a la otra parte infiel y hacerla responsable...  yo creo que no podria
SI,INDIFERENCIA,"Realmente no podria adoptar a ese fruto de la infidelidad, existen miles de opciones como posibles soluciones. "
SI,INDIFERENCIA,"En primera diria que si, porque a la final el niño no tiene culpa de nada pero en realidad no estaria segura es que una cosa es decirlo por responder esta pregunta y otra vivirlo y tomar la decision en ese preciso momento."
SI,INDIFERENCIA,"Una situacion muy dificil de encontrar, seria de pasar esa realidad para saber que decision se tomaria. Pero por el momento no seria capaz de adoptar. "
SI,INDIFERENCIA,Yo realmente pienso que no seria capaz.
SI,INDIFERENCIA,"Pues seria dificil ya que al tener contacto con el niño tendría siempre presente que mi pareja me fue infiel, pero si puede llegar a  posible darle un nuevo hogar al niño y poder empezar de cero "
SI,INDIFERENCIA,"es dificil la situacion, pero la realidad de la sociedad eso esta visto como malo, incluso criticas de las personas"
SI,INDIFERENCIA,"no, creo que la parte progenitora viva debe cuidarlo. "
SI,INDIFERENCIA,No lo adoptaria  solicitarÃ­a a sus familiares directos q de hagan cargo 
SI,INDIFERENCIA,Yo realmente pienso que no seria capaz de cuidar a una personita que no es mi responsabilidad. 
SI,INDIFERENCIA,", A mi consideración no sería algo ético que otra persona se haga cargo del hijo de aquella persona, pero esto depende del punto de vista. Yo no podría."
SI,INDIFERENCIA," generalmente no, pero podría depender de la situación en ese momento."
SI,INDIFERENCIA,"Quedo fichado por mis conocidos como tonto, pero el crecer sin el amor de una figura familiar sea paterna o materna es una carga demasiado pesada peor si es para un infante. "
SI,INDIFERENCIA, yo no lo adoptaría porque el tiene a su familia biológica que se pueden ser cargo de su propio hijo
SI,INDIFERENCIA," depende de la situación la cual le rodea al niño y a su madre, en mi opinión no sería capas de adoptar a un niño producto de una infidelidad, pero eso no quiere decir que tampoco lo voy a discriminar"
SI,INDIFERENCIA,No podría adoptarlo se supone que debe ya tener un padre además no creo que seguiría serca de esa persona infiel.
SI,INDIFERENCIA," No, es cierto que el niño no tiene la culpa, pero no me parece agradable estar con alguien que traicionó mi confianza, sería infeliz."
SI,INDIFERENCIA, A mi parecer no adoptaría ya que hay muchas formas de solucionar el problema o circunstancia
SI,INDIFERENCIA,"aunque los niños no tienen la culpa, este sería producto de una infidelidad, que me hizo sufrir, la verdad no podría hacerlo"
SI,INDIFERENCIA,"si el niño aún es pequeño, podría considerarlo, sino solo ayudaría al familiar que tenga su custodia"
SI,INDIFERENCIA,"seguramente tiene familiares, ellos pueden cuidarlo"
SI,INDIFERENCIA,No es mi responsbailidad
SI,INDIFERENCIA,"el niño no tiene la culpa, pero no estaría preparado para afrontar algo así"
SI,INDIFERENCIA,"me da mucha pena por el niño, porque no tiene la culpa de nada, pero lastimosamente no es mi responsabilidad"
SI,INDIFERENCIA,a veces la familia no es lo que uno espera
SI,INDIFERENCIA,"Debería ser una decisión consensuada por ambos padres, todo depende del contexto y el ambiente donde se vaya a desarrollar el infante."
Si,INDIFERENCIA,"No, porque no quiero más estrés JAJAJA"
Si,INDIFERENCIA,"no, siguiente pregunta. XD"
Si,INDIFERENCIA,La verdad No.. :o
Si,INDIFERENCIA,yo pienso que no!
Si,INDIFERENCIA,"el estar en una relación con alguien que tiene hijos tiene sus pro y contra, en lo personal no estaría pero uno nunca sabe, ya que la vida da muchas vueltas"
SI,AUTOSUFICIENCIA,Cada quién cree en lo que quiera creer 
SI,AUTOSUFICIENCIA,Cada individuo tiene la libertad de elegir en qué creer
SI,AUTOSUFICIENCIA,Por eso respeto lo que piensen y crean los demás
SI,AUTOSUFICIENCIA,"la masturbación no es un pecado, y no tiene nada que ver con la religión.."
SI,AUTOSUFICIENCIA,"no creo en las religiones, todos tenemos libre alberdrío"
SI,AUTOSUFICIENCIA,"yo soy ateo, no creo en eso.. Solo en los propios actos"
SI,AUTOSUFICIENCIA,las personas son dueñas de su propio destino 
SI,AUTOSUFICIENCIA,"la masturbación no es un pecado, además es saludable jajaja :)"
SI,AUTOSUFICIENCIA,"todos somos imperfectos, la religión no salva a nadie de sus pecados.."
SI,AUTOSUFICIENCIA,arriba el ateismo!!!
SI,AUTOSUFICIENCIA,"todos somos pecadores, y masturbarse no es malo"
SI,AUTOSUFICIENCIA,es mejor ser un pecador feliz jajajaja
SI,AUTOSUFICIENCIA,prefiero pecar y masturbarme!!!
SI,AUTOSUFICIENCIA,"las religiones no sirven, son una mentira, es mejor ser una buena persona bajo nuestros propios pensamientos…."
SI,AUTOSUFICIENCIA,los que se cubren bajo una religión muchas veces son los peores seres humanos.. La religión no ayuda en nada
SI,AUTOSUFICIENCIA,"todos somos dueños de nuestro destino, la religion no tiene nada que ver… además todos somos pecadores de acción o pensamiento"
SI,INDIFERENCIA,"prefiero no hablar de religiones, ninguna me agrada"
SI,INDIFERENCIA, pienso que debe pagar la persona que más tiene dinero
SI,INDIFERENCIA,"si es una ocasión especial y ella me quiere invitar, está bien :) la proxima pago yo"
SI,AUTOSUFICIENCIA,por caballerosidad debe pagar el hombre!!
SI,AUTOSUFICIENCIA,"si yo invito, yo pago"
SI,AUTOSUFICIENCIA,"aunque no es bien visto en nuestra sociedad, pero si la mujer tiene una mejor posición económica, ella podría asumir el gasto"
SI,AUTOSUFICIENCIA,"si mi pareja no tiene dinero o está en un mal momento economico, yo como mujer también podría asumir ese gasto"
SI,INDIFERENCIA,"generalmente, el hombre es quien paga.."
SI,INDIFERENCIA,"si su problema es muy grande y realmente puedo ayudarla, creo que si lo haría"
SI,INDIFERENCIA,es mejor no involucrarse en problemas ajenos
SI,INDIFERENCIA,"no sé, tendría que pensarlo"
SI,INDIFERENCIA,"si no es una relación seria, me da lo mismo"
SI,INDIFERENCIA,cada quien decide que ser y hacer… y en este caso la prostitucion si debe ser regulada por el estado tanto para quienes lo hacen como para quienes solicitan el servicio…
SI,AUTOSUFICIENCIA,"Me da lo mismo, contigo o sin ti, yo puedo!"
SI,AUTOSUFICIENCIA,No te necesito para nada!
SI,AUTOSUFICIENCIA,Yo puedo sola
