RASGOS,COMENTARIOS,,,,,,,,,
AUTORITARISMO,"No continúes insistiendo, ya he tomado mi decisión.",,,,,,,,,
AUTORITARISMO,"No hay vuelta atrás, ya hablé contigo y seguiremos lo que te he dicho. Quien lleva los pantalones soy yo. Me encargo de tomar las decisiones.",,,,,,,,,
SUPERIORIDAD,"Me preocupa mucho el fracaso, no sé si es por vanidad, por necesidad de afecto o por las dos cosas.",,,,,,,,,
SUPERIORIDAD,"¿por qué me estás contando esto?, a mi no me interesa",,,,,,,,,
SUPERIORIDAD,"Los demás son como niños, si te descuidas son chapuceros, descuidados, vagos……",,,,,,,,,
SUPERIORIDAD,"eres un vago, bueno para nada",,,,,,,,,
SUPERIORIDAD,"Si no fuera por mí, nada de esto sería posible",,,,,,,,,
SUPERIORIDAD,"Me siento solo, los demás no están a mi altura",,,,,,,,,
SUPERIORIDAD,"A menudo me dicen que soy una persona fría y calculadora, pero no es verdad, solo me gustan bien hechas, y correctas",,,,,,,,,
SUPERIORIDAD,"Como puede verse, sin niños se está mucho mejor, los niños molestan mucho, y quitan tiempo",,,,,,,,,
SUPERIORIDAD,"Lo que importa es el resultado, el cómo se hizo está de menos",,,,,,,,,
SUPERIORIDAD,"No confundas mi cariño y aprecio, con mi amor",,,,,,,,,
SUPERIORIDAD,"Nunca encuentras la solución a nada, si yo no meto mano, nada funciona",,,,,,,,,
SUPERIORIDAD,Jamás aciertas con tus propuestas,,,,,,,,,
SUPERIORIDAD,"si, claro con lo brillante que eres, si no sirves para nada",,,,,,,,,
SUPERIORIDAD,"¿Por qué cuesta tanto hacer las cosas bien?,  miren mi ejemplo",,,,,,,,,
SUPERIORIDAD,"No conviene halagar demasiado el trabajo de los demás, no vaya a ser que se lo crean demasiado",,,,,,,,,
SUPERIORIDAD," Si no voy detrás de las personas, lo hacen mal ",,,,,,,,,
SUPERIORIDAD,"No me puedo fiar de los demás, ¿por qué les cuesta tanto hacer las cosas bien?",,,,,,,,,
SUPERIORIDAD,"Aquí lo que pasa es que nada lo pueden hacer bien, todo hay que decirles, sino estoy aquí nada funciona",,,,,,,,,
SUPERIORIDAD,"quien tiene que subir el tono para expresarse, es porque no tiene gran cosa que decir",,,,,,,,,
SUPERIORIDAD,eres hija legítima y necesaria de la ignorancia.,,,,,,,,,
SUPERIORIDAD,"no debo angustiarme, si, yo puedo hacerlo sola",,,,,,,,,
SUPERIORIDAD,ya no espero nada de nadie,,,,,,,,,
SUPERIORIDAD,tu no sabes quien soy yo..,,,,,,,,,
SUPERIORIDAD,quiere probar mi poder…,,,,,,,,,
SUPERIORIDAD,me estresa no poder obtener lo que quiero,,,,,,,,,
SUPERIORIDAD,"estoy muy preocupada, no se que haré sino obtengo mi meta",,,,,,,,,
SUPERIORIDAD,"tu no eres nadie, no eres mejor que nadie, simplemente eres una cosa sin valor",,,,,,,,,
VANIDAD,¡Qué pobre sería el espíritu humano sin la vanidad!,,,,,,,,,
VANIDAD,No me había dado cuenta de lo hermosa que soy!!!,,,,,,,,,
VANIDAD,"un día tendrás que venir llorando, cuando tu belleza ya se haya marchitado..",,,,,,,,,
VANIDAD,"tu orgullo se alimenta con la vanidad, y un día acabaras despreciada por todos",,,,,,,,,
VANIDAD,La vanidad nos consume. Hacemos espectáculo de nuestras más íntimas y asquerosas dolencias.,,,,,,,,,
VANIDAD,"La curiosidad no es más que vanidad. En la mayoría de los casos, sólo queremos saber algo para hablar de ello.",,,,,,,,,
VANIDAD,Para los vanidosos todos los demás hombres son admiradores.,,,,,,,,,
VANIDAD,que lindos son mis admiradores!!,,,,,,,,,
VANIDAD,"no es nadie es solo mi pretendiente, yo no tengo culpa de tener muchos ;)",,,,,,,,,
VANIDAD,"Yo no siento celos ni de ti, ni de nadie",,,,,,,,,
VANIDAD,"Claro, ningún vanidoso siente celos.",,,,,,,,,
VANIDAD,"tengo tanto amor propio que me tienes envidia, cosa fea",,,,,,,,,
VANIDAD,"yo porque puedo, jijiji",,,,,,,,,
PRETENSION,"que te hice, solo te molesto por haber nacido… no tengo la culpa de ser así…",,,,,,,,,
PRETENSION,Que cosa tan bella!!,,,,,,,,,
PRETENSION,"No pretendas demostrar algo que evidentemente no eres, no tienes en que caerte muerta..",,,,,,,,,
EXHIBICIONISMO,"Alimenta tus fantasías, no tus vanidades, nena.",,,,,,,,,
EXHIBICIONISMO,Me veo muy sexy con este vestido y lo usaré más a menudo.,,,,,,,,,
EXHIBICIONISMO,"con este vestido me veo muy sexy, me lo pondre mas seguido",,,,,,,,,
AUTOSUFICIENCIA,"En primer lugar la madre debe tener la estabilidad economica, para poder mantener a ese nuevo ser, si lo tiene, yo no veo ningun problema en que conciba por cualquier forma",,,,,,,,,
AUTOSUFICIENCIA,Mientras la mujer se haga responsable de las consecuencias todo esta bien.,,,,,,,,,
AUTOSUFICIENCIA,cada quien es libre de decidir,,,,,,,,,
AUTOSUFICIENCIA,cada quien toma sus propias decisiones,,,,,,,,,
AUTOSUFICIENCIA,Es muy lindo ser madre pero tambien es lindo tener una familia. Cualquier madre tiene derecho a cumplir sus deseos.,,,,,,,,,
AUTOSUFICIENCIA,"es de mucha importancia ser madre y cuidar con responsabilidad, aunq no se tenga una familia por desicion de la madre , se debe respetar aquello mientras asuma las consecuencias .",,,,,,,,,
AUTOSUFICIENCIA,"Ser madre soltera no es ningun crimen, y una familia no deja de ser familia por no tener a una pareja sentimental, en este caso la figura paterna. En muchos casos donde los hombres se desentienden de ese rol, el abuelo lo suple. ",,,,,,,,,
AUTOSUFICIENCIA,"todo es posible en esta vida , siempre y cuando todas las personas nos hagamos responsable de nuestros actos",,,,,,,,,
AUTOSUFICIENCIA,"claro esta que si tienen el deseo de ser madres estan en su derecho pero debe ser con responsabilidad, que el bebe tenga una calidad de vida digna y esto esta ligado al derecho de una familia",,,,,,,,,
AUTOSUFICIENCIA,"en esta vida todo es posible y mas aun si se trata de cumplir un deseo ... aqui todo es valido ya que sabemos que una familia se cria con amor y sobre todo responsabilidad , asi que estoy en total acuerdo, es psoible criar a un hijo sola no es necesaria la compañia de un hombre",,,,,,,,,
AUTOSUFICIENCIA,Con mucha educacion y con el deseo de tener un hijo todo es posible ,,,,,,,,,
AUTOSUFICIENCIA,"Muchas veces la mujer busca sentir ese deseo de ser madres sin depender de alguien, si esa mujer esta economicamente estable y cuenta con tiempo para cuidar a esa personita pues estaria en todo su derecho.",,,,,,,,,
AUTOSUFICIENCIA,"Si se siente capaz tanto economica, fisica y emocional, estan en todo su derecho de experimentar la dicha de ser madre. Debemos eliminar el estereotipo de que una familia es un hombre y una mujer, ya que lo primordial es dar amor y tener paciencia hacia el bebe",,,,,,,,,
AUTOSUFICIENCIA,"en algunos casos la madre tiene todo el derecho de realizar con su cuerpo lo que desee, ya que todo lo hacen con responsabilidad y deseo y mas aun tener una familia puede ser de dos .",,,,,,,,,
AUTOSUFICIENCIA,si estoy en total acuerdo que tengan un hijo ya que es un deseo que toda mujer tiene.,,,,,,,,,
AUTOSUFICIENCIA,"toda mujer esta en su derecho de tener un hijo ... asi sea la manera que sea y tambien ssabemos llamar familia a solo dos personas , no es necesario tener muchas personas a nuestro alrededor",,,,,,,,,
AUTOSUFICIENCIA,cualquier forma de embarazo es valido . ya que es el deseo de cada mujer .,,,,,,,,,
AUTOSUFICIENCIA,"Con tal de que tenga estabilidad tanto laboral y emocional, sera un buen ambiente de crianza ",,,,,,,,,
AUTOSUFICIENCIA,"cada quien tiene su opinion, las mujeres tienen derecho a buscar cualquier forma para tener un hijo y es decision de cada una.",,,,,,,,,
AUTOSUFICIENCIA,A criterio mientras ella quiera ser madre y hacerse responsable de un bebe esta bien por que las criaturas  no deben sufrir.,,,,,,,,,
AUTOSUFICIENCIA,"Si una mujer puede y tiene como mantener un hijo sola sin la figura de un hombre a su lado, esta bien, es su decision y su responsabilidad",,,,,,,,,
AUTOSUFICIENCIA,"las mujeres somos autosuficientes y no necesitamos de un hombre para salir adelante, y mucho menos para criar a un hijo",,,,,,,,,
AUTOSUFICIENCIA,"creo en la libertad de pensamiento y accion, asi que no me parece mal adoptar a hacer un proceso de inseminacion para tener un hijo, siempre que este cuente con una estabilidad economica no creo que exista nada malo en ello.  :)",,,,,,,,,
AUTOSUFICIENCIA,"las familias son diversas no siempre se requiere algo tradicional, bien puede una mujer cuidar sola a su hijo",,,,,,,,,
AUTOSUFICIENCIA,"pienso que no se esta negando ninguna posibilidad, si se tiene la madurez necesaria se puede enfrentar sola ese reto y sacar adelante a su hijo",,,,,,,,,
AUTOSUFICIENCIA,"depende de la situacion… no es egoismo es el derecho que toda mujer tiene por ser madre, y si quiere tener sola un hijo, esta bien.",,,,,,,,,
AUTOSUFICIENCIA,"La familia es fundamental y constituye el nucleo de la sociedad, pero en algunas ocasiones la madre desde sus inicios asume sola la crianza de sus hijos y eso esta bien sobre todo teniendo los recursos necesarios, inculcandoles valores y dandoles mucho amor.",,,,,,,,,
AUTOSUFICIENCIA,"La madre es la persona la cual trae un ser humano a este mundo. Por lo cual ella tiene en gran parte el derecho de decidir como sera el desarrollo de su hijo , la relacion con las personas que lo rodea. no brindarle una familia a su hijo.sera su responsabilidad ",,,,,,,,,
AUTOSUFICIENCIA,"Estructura familiar es un concepto amplio, no cabe juzgarla por criar un bebe ella sola, pero debe pensar en propiciar la concepcion sin afectar a los demas por su deseo (padre del niño). Ademas de cumplir con las necesidades de su hijo en todos los planos. ",,,,,,,,,
AUTOSUFICIENCIA,"Pues yo opino que debe tener un trabajo estable como para darle un sustento al niño,no estan sencillo como cuidar un animal, se trata de una persona: debe tener mas cuidado y responsabilidad para algo estan los inspectores.",,,,,,,,,
AUTOSUFICIENCIA,la mujer que tiene el deseo de tener un hijo pues esta bien asi mismo me pongo a pensar que el niño tambien en un futuro tendra el deseo de tener una familia,,,,,,,,,
AUTOSUFICIENCIA,"Las mujeres son libres de elegir el hecho de estar con alguien o no, algunas simplemente tienen el deseo de ser madres. Un concepto retrogrado de familia es papa mama e hijos; actualmente la palabra familia tiene un concepto mucho mas abierto.",,,,,,,,,
AUTOSUFICIENCIA,"Creo que no es negar la posibilidad de una familia, cuando una mujer decide tomar esa responsabilidad es por su felicidad y el compromiso de formar una familia de dos brindando los mismo valores, amor y entrega en ese hogar, no lo que la sociedad nos indica.",,,,,,,,,
AUTOSUFICIENCIA,"el concepto de familia no se debe necesariamente a que un hombre debe de estar en ella como figura paterna y llamarla “familia”, si la mujer tiene el deseo y los recursos economicos para mantener a ella sola un bebe, pues se dara.",,,,,,,,,
AUTOSUFICIENCIA,"La maternidad depende de cada mujer y de las posibilidades que tiene para ofrecer a un niño, lo puede criar sola y generar que crezca con un concepto que no solo la familia esta conformada por: padre, madre e hijos.",,,,,,,,,
AUTOSUFICIENCIA,"En la actualidad el tener una figura paterna y materna no es sinonimo de familia, hay muchas factores en juego y eso no quiere decir que una mujer por cumplir su ""deseo"" de ser madre tenga que adaptarse q los estadares sociales...",,,,,,,,,
AUTOSUFICIENCIA,"Si hablamos de no darle la oportunidad de tener una familia, creo que debemos entender que Familia no precisamente es tener papa, mama, hermanos etc. Muchas veces las “familias” se conforman por dos personas. El hecho de que una mujer quiera tener un hijo sin estar casada o algo",,,,,,,,,
AUTOSUFICIENCIA,"no quiere decir que le esta negando la oportunidad de una familia a un niño. Creo que el concepto de familia que tiene la mayoria de personas es un poco erroneo Pero bueno, quienes somos nosotros para juzgar?",,,,,,,,,
AUTOSUFICIENCIA,"El ser madre va mas alla de lo que diga una sociedad creo que es el amor mas noble que podemos dar, hay personas que no saben lo que es amor y niegan esas posibilidades",,,,,,,,,
AUTOSUFICIENCIA,"No tiene nada de malo que una familia sea solo de madre e hijo, mientras una madre tenga los recursos necesarios para brindarle una vida digna a sus hijos no esta nada mal, no es necesario que el padre del niño este presente para llamar la hogar FAMILIA",,,,,,,,,
AUTOSUFICIENCIA,sin lugar a duda cualquiera puede cumplir un deseo si se lo propone .. tambien hay que ser conscientes de dar la vida y una familia a una criatura inocente,,,,,,,,,
AUTOSUFICIENCIA,"EN OCASIONES EL DESEO DE SER MADRE ES MAYOR, A LA SIMPLE IDEA QUE ESTO ABARCA , LA RESPONSABILIDAD DE ELLO, NO ES SUFICIENTE PARA ELLAS.",,,,,,,,,
AUTOSUFICIENCIA,"Mientras la mujer se haga responsable , puede decidir que hacer con su cuerpo. Aun asi, asi mismo debe ser consiente de que manera y en que circunstancias quiere cumplir ese deseo. Hay casos donde parejas que no pueden tener hijos buscan-",,,,,,,,,
AUTOSUFICIENCIA,aqui se toma en cuenta en su mayor parte la responsabilidad que esta dispuesta a tomar,,,,,,,,,
AUTOSUFICIENCIA,"Si una mujer decide tener un hijo sola, debe saber las responsabilidades que esto conlleva, el niño/a puede ser criado con buenos valores y ser una persona de bien, incluso sin la figura paterna. Hay que tener en cuenta que el nucleo familiar en estos tiempos es diverso.",,,,,,,,,
AUTOSUFICIENCIA,Yo creo que esta bien siempre y cuando el padre este de acuerdo a estas reglas muchas mujeres lo hacen para poder cuidar sus bienes y heredar a su hijo mientras El Niño viva bien y nunca le falte el amor ni la atencion esta bien,,,,,,,,,
AUTOSUFICIENCIA,"Todo niño tiene derecho a una familia, pero sobre todo tiene derecho a ser amado. Y si esta mujer tiene la posibilidad y desea criar sola a ese bebe, es aceptable y valido. Se hara cargo de su hijo, a comparacion de otras madres que no lo hacen.",,,,,,,,,
AUTOSUFICIENCIA,que hay algunas madres que se quedan embarazadas por cumplir con la sociedad y su deseo,,,,,,,,,
AUTOSUFICIENCIA,"Pienso que la familia es muy valiosa, pero hay en ocasiones que teniendo una, no se ve la felicidad. Entonces si una mujer decide tener un hijo solo y tiene los recursos necesario para sus necesidades, opino que no estaria mal.",,,,,,,,,
AUTOSUFICIENCIA,"Seria bueno que traten de socializar sobre la adopcion de niños que estan sin un hogar, pero a la vez respetar los criterios que tiene esa mujer al tratar de tener un niñ@",,,,,,,,,
AUTOSUFICIENCIA,pienso que toda mujer tiene derecho a tener un hijo de la forma que ella quiera.,,,,,,,,,
AUTOSUFICIENCIA,"cada quien tiene derecho de querer o no querer tener hijos, y a tener una libertad de decision, sin importar opinion de terceros",,,,,,,,,
AUTOSUFICIENCIA,de hecho las mujeres por conciencia deberian formar una familia y no quitarse el gusto de no tenerla,,,,,,,,,
AUTOSUFICIENCIA,"la verdad cualquier mujer tiene derecho a realizar su vida como desee y si esa es su decision, pues el resto debe aceptar .",,,,,,,,,
AUTOSUFICIENCIA,cada mujer decide si ser madre soltera adoptando a su hijo o criarlo con su pareja,,,,,,,,,
AUTOSUFICIENCIA,Mientas exista estabilidad en el hogar no creo que sea un mayor problema,,,,,,,,,
AUTOSUFICIENCIA,En primer lugar tiene que tener una buena estabilidad economica para brindarle el bienestar a es niño ,,,,,,,,,
AUTOSUFICIENCIA,"deberian tener una situacion laboral estable para poder criar un hijo, no solo tenerlo por que si, ya que esto demanda de mucha responsabilidad. ",,,,,,,,,
AUTOSUFICIENCIA,"Creo que depende de la mujer ya que existen varios motivos para querer ser madre soltera , es cierto que el niño debe tener una familia, pero hay veces que nacen y crecen en una que nos es muy buena que digamos asi que todo se basa en la educacion que se le dè.",,,,,,,,,
AUTOSUFICIENCIA,En mi opinion si toma la decison de hacerlo con responsabilidad estabilidad esta en su deecho darle una familia como crea ,,,,,,,,,
AUTOSUFICIENCIA,"Es una pregunta muy personal, creo que no es algo que se deba debatir. Las personas deciden como vivir, como criar y a quien hacerlo. Aun asi es maravilloso ver como crian a niños que necesitan una familia y tener un vida digna.",,,,,,,,,
AUTOSUFICIENCIA,Esta en la libertad y total responsabilidad de asumir su maternidad siempre y cuando tenga la capacidad emocional y economica.,,,,,,,,,
AUTOSUFICIENCIA,Esta bien por que al fin al cabo ese es el mayor anhelo de una familia poder tener hijos y formarla con amor,,,,,,,,,
AUTOSUFICIENCIA,"La familia es parte fundamental para la crianza de un niño si hoy en dia la mujer desea lo puede hacer ya que esta dispuesta y comprometida con formar un hogar y darle bienestar, valores es decision de casi uno. ",,,,,,,,,
AUTOSUFICIENCIA,"mi opinion para el desarrollo de un niño es necesario el afecto, y sentirse seguro en su hogar si la mujer hoy dia decide hacerlo sola no para complacer una vanidad si no que es su naturaleza de proteger, amar y criar esta en deber ser.",,,,,,,,,
AUTOSUFICIENCIA,"cualquier mujer puede hacer posible un embarazo de cualquier forma , asi mismo debe el niño tener una familia ",,,,,,,,,
AUTOSUFICIENCIA,"mientras no le pida nada a nadie, tiene todo el derecho de traer un hijo al mundo, en la forma que quiera y con quien quiera",,,,,,,,,
AUTOSUFICIENCIA,se vive mejor sin esperar nada de nadie,,,,,,,,,
AUTOSUFICIENCIA,yo no estoy para mendigar ni amor ni atencion ni amistad. Agradezco a los que estan y a los que se van les deseo buena suerte,,,,,,,,,
AUTOSUFICIENCIA,"no me interesa la opinion de la gente sobre mi vida, mi trabajo, amistades y amores.. Tengo mi propia forma de hacer las cosas, sea buena o sea mala es la mia",,,,,,,,,
AUTOSUFICIENCIA,no te necesito para maldita la cosa,,,,,,,,,
AUTOSUFICIENCIA,"Si bien es cierto todo los niños tienen derecho a tener una familia, sin embargo existimos mujeres que tenemos el deseo de ser madres biologicas, de sentir como crece un ser dentro de nosotras, y contra ese deseo nadie se puede oponer.!! ",,,,,,,,,
AUTOSUFICIENCIA,"Es cierto que las mujeres tienen libertad de decidir sobre su cuerpo, claro esta que si tienen el deseo de ser madres estan en su derecho pero debe ser con responsabilidad, que el niño tenga una calidad de vida digna y esto esta ligado al derecho de una familia",,,,,,,,,
AUTOSUFICIENCIA,yo no dependo de nadie en este mundo..,,,,,,,,,
AUTOSUFICIENCIA,"no hay que depender de nada ni de nadie en este mundo, porque hasta tu sombra te abandona cuando estas en la oscuridad",,,,,,,,,
AUTOSUFICIENCIA,"tarde o temprano nos toca estar solos, hay que aprender a caminar sin nadie..",,,,,,,,,
AUTOSUFICIENCIA,no ruego ni espero nada de nadie,,,,,,,,,
AUTOSUFICIENCIA,"yo siempre obtengo lo que quiero, a como de lugar",,,,,,,,,
AUTOSUFICIENCIA,"La familia no es una jerarquia y no tiene una estructura determinada en sus integrantes, si el individuo esta en las capacidades de proteger y proveer lo necesario al niño, es apto para la crianza.",,,,,,,,,
AUTOSUFICIENCIA,las mujeres estan en todo el derecho de ser madres de cualquier manera posible.. pero tambien el niño tiene el derecho de tener una familia.,,,,,,,,,
AUTOSUFICIENCIA,es libre de decidir ya que hoy en dia hay mas libertad de eleccion que daños posteriores,,,,,,,,,
AUTOSUFICIENCIA,si pueden y quieren tienen derecho a cumplir su sueño de ser madres de cualquier forma,,,,,,,,,
AUTOSUFICIENCIA,"la madre debe tener la estabilidad economica, para poder mantener al niño.",,,,,,,,,
AUTOSUFICIENCIA,"Si se siente capaz tanto economica, fisica y emocional, estan en todo su derecho de experimentar la dicha de ser madre. Debemos eliminar el estereotipo de que una familia es un hombre y una mujer, ya que lo primordial es dar amor y tener paciencia hacia el niño.",,,,,,,,,
AUTOSUFICIENCIA,"La familia debe conceptualizarse como la o las personas que le puedan entregar todo lo necesario al menor para poder desarrollarse en un buen ambiente, mientras la mujer pueda otorgarle eso al niño no habria problema. ",,,,,,,,,
AUTOSUFICIENCIA,A criterio mientras ella quiera ser madre y hacerse responsable de un bebe esta bien por que los niños no deben sufrir.,,,,,,,,,
AUTOSUFICIENCIA,"claro esta que si tienen el deseo de ser madres estan en su derecho pero debe ser con responsabilidad, que el niño tenga una calidad de vida digna y esto esta ligado al derecho de una familia",,,,,,,,,
AUTOSUFICIENCIA,"traer un hijo al mundo sin tener una estabilidad economica adecuada para mantener al bebe no es correcto, pero si se tiene los medios necesarios, no es un crimen hacerlo",,,,,,,,,
AUTOSUFICIENCIA,"solo es un pensamiento, una forma de decirlo, pero las mujeres son libres de hacer lo que quieran con su cuerpo y con su vida",,,,,,,,,
AUTOSUFICIENCIA,"no se necesita a un hombre para tener un hogar estable, las familias son diversas y se pueden formar con la solo la mama y el hijo",,,,,,,,,
AUTOSUFICIENCIA,"las mujeres somos independientes y autosuficientes, si queremos aceptar esa gran responsabilidad de traer hijos al mundo, y cumplir ese hermoso sueño de ser madre, esta bien!!! :)",,,,,,,,,
AUTOSUFICIENCIA,"estoy de acuerdo, una mujer puede someterse a cualquier medio para ser madre si es su deseo y se tienen los recursos economicos y una estabilidad emocional fuerte",,,,,,,,,
AUTOSUFICIENCIA,"no se trata de egoismo, a veces son las circunstancias, y la gente podria juzgar sin saber.. Ademas si se puede hacer todo sola esta bien cuidar al hijo",,,,,,,,,
AUTOSUFICIENCIA,"el deseo de algunas mujeres es tener hijos sin familia, osea sin la figura del padre, yo estoy de acuerdo, eso sucede mucho en nuestra realidad.. Aunque no lo buscan, simplemente sucede",,,,,,,,,
AUTOSUFICIENCIA,"siempre que la mujer este preparada en todos los sentidos y sea consciente de esa enorme responsabilidad, pienso que no habria problema",,,,,,,,,
AUTOSUFICIENCIA,"cada persona tiene libertad de hacer lo que quiera asumiendo las consecuencias, pero si es un deseo, anhelo y lo puede cumplir en su totalidad, yo estaria de acuerdo.",,,,,,,,,
AUTOSUFICIENCIA,Cada quien cree en lo que quiera creer ,,,,,,,,,
AUTOSUFICIENCIA,Cada individuo tiene la libertad de elegir en que creer,,,,,,,,,
AUTOSUFICIENCIA,Por eso respeto lo que piensen y crean los demas,,,,,,,,,
AUTOSUFICIENCIA,"la masturbacion no es un pecado, y no tiene nada que ver con la religion..",,,,,,,,,
AUTOSUFICIENCIA,"no creo en las religiones, todos tenemos libre alberdrio",,,,,,,,,
AUTOSUFICIENCIA,"yo soy ateo, no creo en eso.. Solo en los propios actos",,,,,,,,,
AUTOSUFICIENCIA,las personas son dueñas de su propio destino ,,,,,,,,,
AUTOSUFICIENCIA,"la masturbacion no es un pecado, ademas es saludable jajaja :)",,,,,,,,,
AUTOSUFICIENCIA,"todos somos imperfectos, la religion no salva a nadie de sus pecados..",,,,,,,,,
AUTOSUFICIENCIA,arriba el ateismo!!!,,,,,,,,,
AUTOSUFICIENCIA,"todos somos pecadores, y masturbarse no es malo",,,,,,,,,
AUTOSUFICIENCIA,es mejor ser un pecador feliz jajajaja,,,,,,,,,
AUTOSUFICIENCIA,prefiero pecar y masturbarme!!!,,,,,,,,,
AUTOSUFICIENCIA,"las religiones no sirven, son una mentira, es mejor ser una buena persona bajo nuestros propios pensamientos….",,,,,,,,,
AUTOSUFICIENCIA,los que se cubren bajo una religion muchas veces son los peores seres humanos.. La religion no ayuda en nada,,,,,,,,,
AUTOSUFICIENCIA,"todos somos dueños de nuestro destino, la religion no tiene nada que ver… ademas todos somos pecadores de accion o pensamiento",,,,,,,,,
AUTOSUFICIENCIA,por caballerosidad debe pagar el hombre!!,,,,,,,,,
AUTOSUFICIENCIA,"si yo invito, yo pago",,,,,,,,,
AUTOSUFICIENCIA,"aunque no es bien visto en nuestra sociedad, pero si la mujer tiene una mejor posicion economica, ella podria asumir el gasto",,,,,,,,,
AUTOSUFICIENCIA,"si mi pareja no tiene dinero o esta en un mal momento economico, yo como mujer tambien podria asumir ese gasto",,,,,,,,,
AUTOSUFICIENCIA,"Me da lo mismo, contigo o sin ti, yo puedo!",,,,,,,,,
AUTOSUFICIENCIA,No te necesito para nada!,,,,,,,,,
AUTOSUFICIENCIA,Yo puedo sola,,,,,,,,,
AUTOSUFICIENCIA,"asi me pongas al diablo de tribunal, yo siempre podre demostrar mi capacidad.",,,,,,,,,
AUTOSUFICIENCIA,"el miedo es estupido, arrepentirse tambien",,,,,,,,,
AUTOSUFICIENCIA,Ninguna mujer debe olvidar nunca que ella no necesita a nadie que no la necesite a ella,,,,,,,,,
AUTOSUFICIENCIA,Es mejor estar sola que infeliz con alguien,,,,,,,,,
AUTOSUFICIENCIA,prefiero hacerlo sola.,,,,,,,,,
AUTOSUFICIENCIA,prefiero la tranquilidad de la soledad que la decepcion de una mala compañia como la tuya,,,,,,,,,
AUTOSUFICIENCIA,"no te preocupes por mi, yo puedo sola",,,,,,,,,
AUTOSUFICIENCIA,No podrias manejarme incluso si viniera con un manual de instrucciones.,,,,,,,,,
AUTOSUFICIENCIA,Viviendo mi vida a mi manera,,,,,,,,,
AUTOSUFICIENCIA,"es mi vida, no te metas",,,,,,,,,
AUTOSUFICIENCIA,yo no ruego a nadie… si se va que se vaya,,,,,,,,,
AUTOSUFICIENCIA,"Yo sufro por mis problemas, no por los ajenos..y menos los de mis enemigos..",,,,,,,,,
AUTOSUFICIENCIA,ES SU DESICION PORQUE YA SON ADULTAS ,,,,,,,,,
AUTOSUFICIENCIA,"que es su decision ,ellas seran responsables de ese nuevo ser",,,,,,,,,
AUTOSUFICIENCIA,"prefiero no hablar de religiones, ninguna me agrada",,,,,,,,,
AUTOSUFICIENCIA,me importa un culo tu opinion,,,,,,,,,
AUTOSUFICIENCIA,Felices son aquellos que se atreven valientemente a defender lo que aman.,,,,,,,,,
AUTOSUFICIENCIA,"Tienes razon es muy importante como vestimos, ya que en la actualidad te tratan por como te ven.",,,,,,,,,
AUTOSUFICIENCIA,Cada uno debe vestir como quiera cada uno debe sentirse feliz con lo que hace sin importar el comentario de las demas personas cada quien vive su vida a su gusto,,,,,,,,,
AUTOSUFICIENCIA,"El vestirse bien es importante para reflejar una buena imagen, pero el amor propio es un tema distinto ya que es aceptarse como somos sin buscar seguir modas para ser aceptado por el resto.",,,,,,,,,
PRETENSION,"Cuando se mantiene una buena imagen es el reflejo de como nos sentimos por dentro, es amor propio, empieza desde una buena actitud, hasta la manera en la que nos reflejamos con nuestros actos, el estilo y la aptitud va mas de la moda.",,,,,,,,,
VANIDAD,"Para sentirse bien con uno mismo, para sentirse inclusive mas sano, la imagen es super importante desde siempre y hay qie ajustarse a los estandares establecidos por la sociedad si queremos encajar y estar bien con los demas",,,,,,,,,
PRETENSION,En mi opinion la imagen no significa nada ya que por eso mismo la gente sufre estafas pero lo malo es que la gente juzga por la apariencia asi que hay que tratar de verse bien,,,,,,,,,
AUTOSUFICIENCIA,"Si es importante, de nada sirve nuestro conocimiento si somos descuidados en nuestro bienestar, sino me cuido yo, nadie más lo hará por mi.",,,,,,,,,
PRETENSION,La verdad es que si cada quien se pone lo que le gusta con tal de que se sienta comodo y seguro y eso ya es amor propio.,,,,,,,,,
VANIDAD,"por supuesto, una buena imagen impacta, por eso hay que cuidarla mucho",,,,,,,,,
AUTOSUFICIENCIA,"Las cosas son como son, y tienes que aceptarlo",,,,,,,,,
AUTOSUFICIENCIA,"yo no vivo de la gente, no me interesa lo que hablen, a mi nadie me mantiene,,",,,,,,,,,
AUTOSUFICIENCIA,"no me interesa, cada quien debe aprender a forjar su destino..",,,,,,,,,
AUTOSUFICIENCIA,"Las decisiones que tomemos y nuestros actos definen cuanto seremos, y como nos irá en la vida..",,,,,,,,,
AUTOSUFICIENCIA,"el dinero es necesario para mantenernos y sustentarnos cada dia quiza no es la felicidad pero si la tranquilidad, y muy necesario para sobrevivir..",,,,,,,,,
AUTOSUFICIENCIA,"para ser autosuficiente, es necesario el dinero, eso nos permitirá tener una vida estable y tranquila, asi que es obvio que es mejor tener dinero, lo único es que debemos controlarnos y no dejar a un lado a los amigos y personas que nos hacen feliz estando cerca",,,,,,,,,
AUTOSUFICIENCIA,"dime cuanto tienes y te diré cuánto vales, así de simple...sabemos que el dinero no da la felicidad, incluso hay muchas personas con grandes fortunas que ni la pueden disfrutar, Pero si considero que el dinero ayuda en nuestra estabilidad en el ambito personal y social.",,,,,,,,,
AUTOSUFICIENCIA,"Tener una estabilidad economica es muy importante para poder vivir tranquilo. En lo personal soy muy feliz con lo que tengo, no creo que el dinero traiga consigo la felicidad, lo único que si nos da, es un mayor estatus y poder adquisitivo. ",,,,,,,,,
